,sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_total_income,sa_sales,sa_prior_period_extra_ordi_inc,sa_prior_period_inc,sa_extra_ordi_inc,sa_tot_inc_net_of_pe,sa_pat,sa_pbdita,sa_pbt,sa_pbit_net_of_peoifi,sa_pat_net_of_pe,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_total_liabilities,sa_non_current_liabilities,sa_long_term_borrowings,sa_current_liabilities,sa_issued_equity_shares,sa_issued_pref_shares,sa_issued_equity_cap,sa_issued_pref_cap,sa_reduct_equity_cap_amt,sa_buyback_amt,sa_issued_equity_shares_in_lakhs,sa_shareholders_funds,sa_debt,sa_total_assets,sa_non_current_assets,sa_current_assets_incl_st_invest_loans,sa_avg_tot_asset_net_miscexp_now_reval,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cf_net_frm_op_activity,sa_cf_generated_frm_op,sa_cf_proceeds_share_issue,sa_year,sa_begin_year_total_assets,sa_roa,f_roa,sa_cfo,f_cfo,sa_prev_roa,f_del_roa,f_acc,f_del_lev,sa_avg_tot_assets,sa_leverage,sa_prev_leverage,sa_prev_current_ratio,f_del_liq,sa_prev_issued_equity_shares,f_eq_offer,sa_margin,sa_prev_margin,f_del_margin,sa_turnover,sa_prev_turnover,f_del_turn,f_score
1411,29351,BALAJI INDUSTRIAL CORPN. LTD.,20020331,12,IGAAP,837.8,632.6,150.4,150.4,,687.4,-330.3,118.6,-330.3,-205.2,-363.0,-52.8077,9586.4,,0.0,1865.5,52782105.0,40000000.0,527.8,400.0,,,527.8211,1226.2,5974.4,9586.4,,,8997.85,0.8561,0.8609,7.2312,-421.3,-280.5,427.1,2001,9703.2,0.0708426086239591,1,-0.04341866600709044,0,0.4487538217214222,0,0,0,9644.79999999999,0.0,0.0,0.5367,1,439.8705,0,1.0866266202971862,1.0517546969159872,1,0.0651949872207107,0.4266715642319286,0,3
1416,29433,BALAJI TELEFILMS LTD.,20020331,12,IGAAP,1133.3,1103.0,2.2,2.2,,1131.1,290.2,500.4,447.7,427.3,288.0,25.4619,810.8,,0.0,82.9,10303250.0,,103.0,,,,103.0325,651.9,,810.8,,,662.05,1.8408,2.1131,0.0,269.1,402.5,,2001,563.9,2.005852101436425,1,0.47721227167937585,1,2.7506925207756234,0,0,0,687.3499999999898,0.0,0.0,1.9231,1,103.0325,0,1.025475974614687,1.0157528641571194,1,1.9560205710232312,2.70803324099723,0,4
1419,29455,BALAJI YARN LTD.,20020331,12,IGAAP,16.8,14.7,,,,16.8,0.6,1.9,0.6,-0.6,0.7,4.1667,54.4,,0.0,4.2,4288232.0,,42.9,,,,42.8823,50.2,,54.4,,,55.35,3.9524,5.5952,0.0,0.0,,,2001,56.3,0.29840142095914746,1,0.0,0,0.477088948787062,0,0,0,55.34999999998976,0.0,0.0,3.2593,1,25.4422,0,1.142857142857143,1.10625,1,0.261101243339254,0.43126684636118595,0,3
1422,29504,BALARAM CEMENTS LTD.,20020331,12,IGAAP,43.2,42.7,,,,43.2,-25.9,-2.3,-25.9,-10.9,-25.9,-59.9537,71.9,,0.0,24.1,5540500.0,,55.4,,,,55.405,-214.7,262.5,71.9,,,76.9,0.4667,0.9647,,-1.2,-1.2,,2001,81.9,0.5274725274725275,1,-0.01465201465201465,0,0.675,0,0,0,76.89999999998976,0.0,0.0,1.0157,0,55.405,0,1.0117096018735363,1.016566265060241,0,0.5213675213675214,0.664,0,1
1428,29657,BALKRISHNA INDUSTRIES LTD.,20020331,12,IGAAP,2272.1,2234.5,0.3,,0.3,2271.8,57.2,283.4,93.8,144.8,65.5,2.8832,2037.8,,0.0,291.5,6190240.0,,61.9,,,,61.9024,696.8,860.3,2037.8,,,1951.1,0.7814,1.3141,1.2346,126.7,141.7,,2001,1864.4,1.218515340055782,1,0.06795751984552671,1,1.1553162853297443,1,0,0,1951.0999999999894,0.0,0.0,1.1951,1,61.9024,0,1.0166927724323116,1.0212360954137172,0,1.1985089036687406,1.131292059219381,1,5
1431,29678,BALLARPUR INDUSTRIES LTD.,20020630,12,IGAAP,15774.2,15553.1,103.9,96.8,7.1,15670.3,693.0,3233.9,1080.2,2150.6,610.4,3.8953,29396.9,,0.0,5555.8,128820093.0,5614700.0,1288.2,558.8,,,1288.2009,10071.3,11691.4,29396.9,,,26501.35,0.6604,0.8809999999999999,1.2291,2849.2,3162.3,2936.6,2001,24159.2,0.648626610152654,1,0.11793436868770488,1,0.6911835665540773,0,0,0,26778.049999999996,0.0,0.0,0.6801,1,715.8892,0,1.0075354752428776,1.015456674473068,0,0.6437754561409318,0.6806627834838354,0,3
1434,29703,BALMER LAWRIE & CO. LTD.,20020331,12,IGAAP,7452.2,7214.3,81.0,78.5,2.5,7371.2,80.1,660.0,92.0,138.0,4.9,0.0665,5285.5,,0.0,1551.9,16286081.0,,162.9,,,,162.8608,1350.0,1807.0,5285.5,,,5222.1,0.8097,1.1491,1.3385,502.1,518.9,,2001,5582.6,1.320388349514563,1,0.08994017124637266,1,1.3373271889400922,0,0,0,5434.049999999996,0.0,0.0,1.1937,0,162.8608,0,1.0217484717852043,1.0328373042520615,0,1.2922831655501021,1.294809147030693,0,2
1440,29706,BALMER LAWRIE-VAN LEER LTD.,20020331,12,IGAAP,637.8,626.3,1.1,1.1,,636.7,27.4,131.1,30.2,72.2,26.3,4.1307,876.1,,0.0,156.8,15774814.0,,157.7,,,,157.7481,274.8,331.0,876.1,,,854.1,0.5285,0.9066,1.2045,97.4,103.6,,2001,836.0,0.7616028708133972,1,0.11650717703349282,1,0.807454234163045,0,0,0,856.0499999999951,0.0,0.0,0.5274,1,157.7481,0,1.016605460641865,1.0255938440950152,0,0.7491626794258373,0.7873040958777822,0,3
1443,29728,BALRAMPUR CHINI MILLS LTD.,20020331,12,IGAAP,5341.7,5312.1,1.9,1.9,,5339.8,474.8,946.4,565.8,714.0,473.9,8.8749,6789.6,,0.0,1171.4,18972315.0,,189.7,,,,189.7232,2181.7,2395.5,6789.6,,,6567.4,0.1305,1.0703,1.0979999999999999,987.3,1039.1,-50.0,2001,6366.7,0.8387076507452841,1,0.15507248653148412,1,0.9693167523844403,0,0,0,6578.149999999996,0.0,0.0,1.1386,0,189.7232,0,1.0052145102690084,1.0070971264082587,0,0.8343568881838316,0.962485868509466,0,2
1446,29743,BALSARA HYGIENE PRODUCTS LTD. [MERGED],20020331,12,IGAAP,198.1,171.3,13.3,12.5,0.8,184.8,26.1,70.1,33.8,29.8,15.2,8.2251,377.7,,0.0,75.6,3880800.0,,38.8,,,,38.808,146.9,86.5,377.7,,,391.85,0.3886,0.39299999999999996,0.5888,55.5,77.6,,2001,446.1,0.41425689307330194,1,0.12441156691324814,1,0.9765292921825909,0,0,0,411.8999999999963,0.0,0.0,0.4532,0,38.808,0,1.0788091068301227,1.0389303971686983,1,0.3839946200403497,0.9399371650341897,0,3
