,sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_total_income,sa_sales,sa_prior_period_extra_ordi_inc,sa_prior_period_inc,sa_extra_ordi_inc,sa_tot_inc_net_of_pe,sa_pat,sa_pbdita,sa_pbt,sa_pbit_net_of_peoifi,sa_pat_net_of_pe,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_total_liabilities,sa_non_current_liabilities,sa_long_term_borrowings,sa_current_liabilities,sa_issued_equity_shares,sa_issued_pref_shares,sa_issued_equity_cap,sa_issued_pref_cap,sa_reduct_equity_cap_amt,sa_buyback_amt,sa_issued_equity_shares_in_lakhs,sa_shareholders_funds,sa_debt,sa_total_assets,sa_non_current_assets,sa_current_assets_incl_st_invest_loans,sa_avg_tot_asset_net_miscexp_now_reval,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cf_net_frm_op_activity,sa_cf_generated_frm_op,sa_cf_proceeds_share_issue,sa_year,sa_begin_year_total_assets,sa_roa,f_roa,sa_cfo,f_cfo,sa_prev_roa,f_del_roa,f_acc,f_del_lev,sa_avg_tot_assets,sa_leverage,sa_prev_leverage,sa_prev_current_ratio,f_del_liq,sa_prev_issued_equity_shares,f_eq_offer,sa_margin,sa_prev_margin,f_del_margin,sa_turnover,sa_prev_turnover,f_del_turn,f_score
63,2015,A N G INDUSTRIES LTD.,20010331,12,IGAAP,97.2,95.8,,,,97.2,1.7,12.8,1.7,8.1,1.8,1.8519,134.5,,0.0,7.8,4225000.0,,42.3,,,,42.25,55.1,65.4,134.5,,,133.0,1.0417,1.4056,1.1869,3.0,3.0,,2000,144.6,0.6721991701244814,1,0.02074688796680498,1,1.110787172011662,0,0,0,139.54999999999947,0.0,0.0,1.3501,1,42.25,0,1.0146137787056368,1.0032916392363398,1,0.6625172890733056,1.1071428571428572,0,4
72,2248,A P M INDUSTRIES LTD.,20010331,12,IGAAP,1361.6,1336.2,8.3,8.3,,1353.3,-40.1,124.0,-37.4,-13.0,-47.0,-3.4730,690.2,,0.0,55.8,4443416.0,,44.4,,,,44.4342,255.9,369.2,690.2,,,707.7,0.6168,1.2211,1.4428,88.1,90.8,,2000,726.1,1.8637928659964191,1,0.12133314970389752,1,1.7850287907869482,1,0,0,708.1499999999995,0.0,0.0,1.37,0,44.4342,0,1.0127974854063762,1.015881018401815,0,1.840242390855254,1.7571238742064077,1,4
75,2384,SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.,20010331,12,IGAAP,321.8,319.1,0.5,0.5,,321.3,6.9,38.1,7.5,19.1,7.0,2.1786,254.4,,0.0,55.3,5040000.0,,50.4,,,,50.4,113.6,77.0,254.4,,,238.8,0.9773,1.3571,0.6778,21.9,23.4,,2000,239.3,1.3426661094860008,1,0.0915169243627246,1,1.0092879256965943,1,0,0,246.84999999999945,0.0,0.0,1.2723,1,50.4,0,1.006894390473206,1.010181496237273,0,1.333472628499791,0.9991154356479435,1,5
81,2773,ANIL SPECIAL STEEL INDS. LTD.,20010930,12,IGAAP,531.3,528.4,1.1,,1.1,530.2,-155.0,-4.1,-155.0,-38.8,-155.5,-29.3286,820.6,,0.0,118.8,3519425.0,,35.2,,,,35.1942,-150.8,762.9,820.6,,,783.25,0.4186,0.8337,,0.0,,,2000,938.0,0.5652452025586354,1,0.0,0,1.0090019129064927,0,0,0,879.2999999999994,0.0,0.0,1.2141,0,35.1942,0,1.0034065102195309,1.0020113979215555,1,0.5633262260127931,1.0069764825025318,0,2
84,2842,A S M TECHNOLOGIES LTD.,20010331,12,IGAAP,234.1,207.8,,,,234.1,0.9,36.6,0.9,-15.5,1.1,0.4699,151.3,,0.0,39.7,5000000.0,,50.0,,,,50.0,60.6,49.0,151.3,,,144.25,0.9983,1.2064,0.8086,30.6,30.6,,2000,143.3,1.6336357292393577,1,0.21353803210048847,1,0.6424129353233831,1,0,0,147.29999999999933,0.0,0.0,1.3297,0,50.0,0,1.1265640038498554,1.0278606965174129,1,1.4501046755059315,0.625,1,5
88,3005,A T E TRADING & MFG. CO. LTD. [MERGED],20010331,12,IGAAP,44.9,43.2,,,,44.9,3.1,6.1,4.9,4.5,3.4,7.5724,25.5,,0.0,3.2,150000.0,,1.5,,,,1.5,10.2,6.8,25.5,,,23.3,1.6105,2.0105,0.6667,2.7,4.4,,2000,21.1,2.1279620853080567,1,0.12796208530805686,1,1.5746606334841626,1,0,0,23.299999999999326,0.0,0.0,1.2952,1,1.5,0,1.0393518518518519,1.032640949554896,1,2.0473933649289098,1.5248868778280544,1,6
94,3083,A T V PROJECTS INDIA LTD.,20010331,12,IGAAP,495.2,491.8,,,,495.2,-276.0,-68.4,-276.0,-126.9,-276.0,-55.7351,3568.8,,0.0,636.3,53117425.0,,531.2,,,,531.1743,-1019.9,3952.4,3568.8,,,3544.6,0.1659,0.2184,,-18.0,-18.0,,2000,3520.4,0.14066583342801953,1,-0.005113055334621065,0,0.1844124202996216,0,0,0,3544.599999999999,0.0,0.0,0.3729,0,531.1743,0,1.0069133794225293,1.010940608127309,0,0.13970003408703557,0.18241667098647038,0,1
103,3335,A V T NATURAL PRODUCTS LTD.,20010331,12,IGAAP,636.4,631.2,0.3,,0.3,636.1,50.4,112.7,50.4,87.0,50.5,7.9390,523.7,,0.0,37.1,3807100.0,60.0,38.1,,,,38.071,264.4,213.1,523.7,,,467.7,0.2016,1.6279,0.8059999999999999,20.1,19.4,,2000,412.0,1.5439320388349516,1,0.048786407766990295,1,1.8237254248583803,0,0,0,467.84999999999883,0.0,0.0,1.9867,0,38.071,0,1.0077629911280102,1.0064361897756529,1,1.5320388349514564,1.8120626457847382,0,3
106,3624,AAKAR ENGINEERING & MFG. CO. LTD.,20010331,12,IGAAP,70.6,70.3,,,,70.6,-24.3,-11.8,-24.3,-17.7,-24.3,-34.4193,75.6,,0.0,4.4,5000000.0,,50.0,,,,50.0,35.3,35.5,75.6,,,84.05,1.9574,5.7872,1.0057,-6.4,-6.4,,2000,92.7,0.7615965480043149,1,-0.06903991370010788,0,1.4811858608893957,0,0,0,84.14999999999884,0.0,0.0,0.9562,1,50.0,0,1.0042674253200568,1.0093240093240095,0,0.7583603020496223,1.4675028506271377,0,2
110,3737,JAINEX AAMCOL LTD.,20010331,12,IGAAP,18.2,14.3,3.8,0.6,3.2,14.4,0.0,2.9,0.0,-1.8,-3.8,-26.3889,56.0,,0.0,1.9,546338.0,33128.0,5.5,3.3,,,5.4634,7.0,16.6,56.0,,,23.1,0.3228,0.9764,4.4865,2.0,-1.2,-0.6,2000,60.1,0.23960066555740434,1,0.033277870216306155,1,0.3411214953271028,0,0,0,58.04999999999884,0.0,0.0,1.0671,0,5.4668,1,1.0069930069930069,1.0138888888888888,0,0.23793677204658903,0.3364485981308411,0,3
115,3990,AARTI DRUGS LTD.,20010331,12,IGAAP,1506.8,1499.2,,,,1506.8,79.1,212.1,84.8,162.3,79.1,5.2495,1429.4,,0.0,264.7,13009500.0,,130.1,,,,130.095,468.9,641.9,1429.4,,,1334.7,0.6589,1.1169,1.3689,142.0,151.1,,2000,1245.3,1.2099895607484141,1,0.11402874809282904,1,1.2151234027656224,0,0,0,1337.349999999999,0.0,0.0,1.126,0,130.095,0,1.005069370330843,1.0063057186344857,0,1.2038866136673894,1.2075091895676529,0,2
118,3998,AARTI INDUSTRIES LTD.,20010331,12,IGAAP,2858.3,2848.4,0.4,0.4,,2857.9,128.8,431.0,153.8,306.1,136.6,4.7797,2666.0,,0.0,277.6,11622379.0,,116.2,,,,116.2238,969.8,1148.8,2666.0,,,2431.1,0.9189,1.2283,1.1846,326.7,377.9,,2000,2208.8,1.293869974646867,1,0.14790836653386452,1,1.1822185654825283,1,0,0,2437.399999999999,0.0,0.0,1.3154,0,116.2238,0,1.0033352057295324,1.0046888495866408,0,1.2895689967403114,1.176701190591424,1,4
121,4024,AARVEE DENIMS & EXPORTS LTD.,20010331,12,IGAAP,1067.6,1067.2,0.3,0.3,,1067.3,-0.5,118.5,-0.5,91.5,1.4,0.1312,857.3,,0.0,105.7,17990000.0,,179.9,,,,179.9,175.8,574.1,857.3,,,821.15,0.532,0.9501,3.2656,99.4,101.0,,2000,789.8,1.3513547733603444,1,0.12585464674601166,1,1.1426726162517613,1,0,0,823.5499999999995,0.0,0.0,1.0356,0,179.9,0,1.0000937031484256,1.0020595201318092,0,1.351228159027602,1.1403240958196337,1,4
126,4132,AASWA TRADING & EXPORTS LTD.,20010331,12,IGAAP,260.8,259.1,,,,260.8,0.7,1.8,1.1,0.1,0.7,0.2684,16.0,,0.0,0.1,720000.0,,7.2,,,,7.2,11.8,3.7,16.0,,,20.3,2.0,2.0,0.3136,0.0,,,2000,24.6,10.601626016260163,1,0.0,0,3.8370221327967804,1,0,0,20.299999999999578,0.0,0.0,1.0408,1,7.2,0,1.006561173292165,1.0225201072386059,0,10.532520325203253,3.7525150905432594,1,4
129,4210,ABACUS COMPUTERS LTD.,20010630,12,IGAAP,1.1,1.1,,,,1.1,-2.1,-0.2,-2.1,-0.9,-2.1,-190.9091,31.7,,0.0,6.9,2853800.0,,28.5,,,,28.538,17.0,7.6,31.7,,,31.95,0.9823,1.9646,0.4471,-0.1,-0.1,,2000,32.8,0.03353658536585367,1,-0.0030487804878048786,0,0.053254437869822494,0,0,0,32.249999999999574,0.0,0.0,2.0459,0,28.538,0,1.0,1.0,0,0.03353658536585367,0.053254437869822494,0,1
132,4253,ABAN OFFSHORE LTD.,20010331,12,IGAAP,999.4,685.9,93.3,,93.3,906.1,105.7,372.4,125.7,-72.4,12.8,1.4126,2326.4,,0.0,160.4,6278760.0,,62.8,,,,62.7876,1202.4,754.8,2326.4,,,2164.3,1.536,1.8613,0.6277,134.0,263.0,,2000,2094.0,0.432712511938873,1,0.06399235912129896,1,0.5720213989300534,0,0,0,2210.2,0.0,0.0,1.4433,1,62.7876,0,1.3210380521941976,1.928691840863115,0,0.3275549188156638,0.29658517074146296,1,4
135,4286,PHARMACIA HEALTHCARE LTD. [MERGED],20010331,12,IGAAP,972.7,968.6,0.1,,0.1,972.6,32.3,63.3,41.3,43.7,32.9,3.3827,540.5,,0.0,126.3,5220000.0,,26.1,,,,52.2,376.3,16.2,540.5,,,536.4,1.0881,2.1621,0.0431,95.8,106.1,,2000,554.5,1.7540126239855727,1,0.1727682596934175,1,2.0315108514190316,0,0,0,547.4999999999997,0.0,0.0,1.7726,1,26.1,0,1.0041296716911006,1.004436648782501,0,1.746798917944094,2.0225375626043407,0,3
138,4320,ABEE INFO-CONSUMABLES LTD.,20010331,12,IGAAP,39.0,38.6,,,,39.0,-3.7,4.3,-3.7,0.5,-3.0,-7.6923,118.2,,0.0,12.7,4511200.0,,45.1,,,,45.111999999999995,44.4,39.7,118.2,,,95.4,0.4489,0.5584,0.8941,11.2,11.9,,2000,112.6,0.3463587921847247,1,0.0994671403197158,1,0.6040868454661558,0,0,0,115.39999999999964,0.0,0.0,1.3036,0,45.111999999999995,0,1.0103626943005182,1.0021186440677965,1,0.34280639431616344,0.6028097062579821,0,3
154,5003,INSPIRISYS SOLUTIONS LTD.,20010331,12,IGAAP,1385.6,1301.3,0.9,0.9,,1384.7,90.1,169.0,102.1,57.0,89.2,6.4418,835.0,,0.0,289.0,4598100.0,,46.0,,,,45.981,276.0,226.8,835.0,,,714.95,1.1958,1.3716,0.8217,-110.3,-94.1,72.6,2000,602.9,2.296732459777741,1,-0.18294907944932826,0,27.73892773892774,0,0,0,718.9499999999996,0.0,0.0,1.1374,1,42.5,0,1.0640897563974487,1.002442928144217,1,2.1584010615359097,27.67132867132867,0,3
159,5206,ACCURATE TRANSFORMERS LTD.,20010331,12,IGAAP,491.2,489.9,,,,491.2,10.7,33.0,17.1,27.0,11.2,2.2801,379.7,,0.0,189.3,3037100.0,,30.4,,,,30.371,87.2,86.7,379.7,,,321.0,1.0528,1.1472,0.9943,16.4,20.5,,2000,265.9,1.847311019180143,1,0.06167732230161715,1,2.0063884156729133,0,0,0,322.7999999999997,0.0,0.0,1.1385,1,30.371,0,1.0026536027760768,1.0031942078364566,0,1.8424219631440393,2.0,0,3
162,5284,ACE SOFTWARE EXPORTS LTD.,20010331,12,IGAAP,52.5,51.8,,,,52.5,13.6,18.8,14.0,13.4,13.7,26.0952,102.1,,0.0,8.8,5000000.0,,50.0,,,,50.0,81.4,2.7,102.1,,,92.2,1.0759,1.7595,0.0332,11.8,12.2,,2000,87.7,0.5986316989737742,1,0.1345496009122007,1,0.5398351648351648,1,0,0,94.89999999999972,0.0,0.0,2.3409,0,50.0,0,1.0135135135135136,1.0076923076923077,1,0.5906499429874572,0.5357142857142857,1,5
165,5396,ACKNIT INDUSTRIES LTD.,20010331,12,IGAAP,161.0,157.4,0.1,0.1,,160.9,23.1,34.4,23.3,25.3,23.0,14.2946,153.0,,0.0,26.3,3000000.0,,30.0,,,,30.0,89.0,31.7,153.0,,,135.55,0.4905,0.7772,0.3562,26.8,26.8,,2000,121.4,1.3253706754530477,1,0.22075782537067545,1,1.1976878612716761,1,0,0,137.1999999999997,0.0,0.0,0.9559,0,30.0,0,1.022236340533672,1.0454086781029264,0,1.2965403624382208,1.145664739884393,1,4
171,5531,ACQUAINT EXPORTS LTD.,20010331,12,IGAAP,21.1,12.1,9.0,8.8,0.2,12.1,-0.2,1.8,-0.2,1.3,1.3,10.7438,17.9,,0.0,7.5,5219300.0,,52.2,,,,52.193000000000005,8.6,,17.9,,,31.65,0.36,0.36,0.0,-0.7,-0.7,,2000,49.4,0.24493927125506074,1,-0.01417004048582996,0,0.21887550200803216,1,0,0,33.649999999999714,0.0,0.0,0.0943,1,52.193000000000005,0,1.0,1.0,0,0.24493927125506074,0.21887550200803216,1,4
174,5568,ACROW INDIA LTD.,20010331,12,IGAAP,98.0,93.9,0.8,0.7,0.1,97.2,7.1,17.3,8.6,9.2,7.4,7.6132,120.1,,0.0,15.0,640000.0,,6.4,,,,6.4,92.2,10.7,120.1,,,119.9,0.5227,1.1682,0.1161,11.0,13.7,,2000,123.1,0.7896019496344436,1,0.08935824532900082,1,0.5586854460093897,1,0,0,121.59999999999968,0.0,0.0,1.037,1,6.4,0,1.035143769968051,1.0640834575260807,0,0.7627944760357434,0.5250391236306728,1,5
177,5574,ACRYSIL LTD.,20010331,12,IGAAP,93.5,92.0,0.2,0.2,,93.3,1.1,9.8,1.4,5.1,0.9,0.9646,104.8,,0.0,23.5,2572000.0,,25.7,,,,25.72,36.4,38.3,104.8,,,113.55,0.7088,0.9808,1.0522,15.6,16.7,,2000,122.6,0.7610114192495921,1,0.1272430668841762,1,1.1616509028374893,0,0,0,113.69999999999968,0.0,0.0,1.0627,0,25.72,0,1.0141304347826086,1.0089619118745332,1,0.7504078303425775,1.1513327601031815,0,3
189,5715,ADAM COMSOF LTD.,20010630,12,IGAAP,299.7,297.4,,,,299.7,68.9,79.5,74.4,74.4,68.9,22.9897,374.2,,0.0,20.4,13382000.0,,133.8,,,,133.82,324.2,19.2,374.2,,,346.75,7.8278,7.8974,0.0592,10.0,10.0,,2000,319.5,0.9380281690140845,1,0.03129890453834116,1,1.804951237809452,0,0,0,346.8499999999997,0.0,0.0,3.5675,1,133.82,0,1.00773369199731,1.0041736227045075,1,0.930829420970266,1.797449362340585,0,4
192,5747,ADANI ENTERPRISES LTD.,20010331,12,IGAAP,30915.5,30062.4,493.8,12.8,481.0,30421.7,1183.0,1941.2,1199.7,1118.0,736.2,2.4200,17027.4,,0.0,6179.0,22047400.0,30500000.0,220.5,305.0,,,220.47400000000002,5074.1,5979.0,17027.4,,,15388.15,1.1719,1.3141,1.2537,-1460.1,-1503.3,-90.0,2000,13748.9,2.2126642858701424,1,-0.10619758671602819,0,2.8494715651736287,0,0,0,15388.150000000001,0.0,0.0,1.4871,0,220.47400000000002,0,1.0119518069082973,1.0094924634404654,1,2.186531286139255,2.8226774031202817,0,2
195,5791,ADARSH CHEMICALS & FERTILISERS LTD.,20010331,12,IGAAP,4.1,0.5,3.6,3.6,,0.5,-83.3,-15.0,-83.3,-57.1,-86.5,-17300.0000,607.3,,0.0,283.6,15000000.0,,150.0,,,,150.0,-506.9,792.1,607.3,,,591.95,0.2743,0.3114,,-0.5,-0.4,,2000,662.3,0.0007549448890231014,1,-0.0007549448890231014,0,0.05461418143899895,0,0,0,634.8000000000018,0.0,0.0,0.2575,1,150.0,0,1.0,1.0072115384615383,0,0.0007549448890231014,0.05422314911366006,0,2
198,5802,VIKAS PROPPANT & GRANITE LTD.,20010331,12,IGAAP,118.9,118.4,0.2,0.2,,118.7,-13.5,-6.4,-13.5,-10.0,-13.7,-11.5417,77.6,,0.0,3.9,5967500.0,,59.7,,,,59.675,38.9,32.4,77.6,,,86.0,0.5579999999999999,1.097,0.8329,9.6,9.4,,2000,98.1,1.2099898063200816,1,0.09785932721712538,1,0.907928388746803,1,0,0,87.85000000000181,0.0,0.0,1.3265,0,59.675,0,1.0025337837837838,1.0123574144486691,0,1.2069317023445465,0.896845694799659,1,4
201,5843,ADARSH PLANT PROTECT LTD.,20010331,12,IGAAP,21.1,21.0,,,,21.1,-1.3,6.3,-1.3,4.7,-1.3,-6.1611,68.6,,0.0,4.5,3436500.0,,34.4,,,,34.365,29.5,31.7,68.6,,,64.2,1.1991,1.7315,1.0746,1.9,1.9,,2000,66.2,0.3187311178247734,1,0.028700906344410873,1,0.337171052631579,0,0,0,67.40000000000182,0.0,0.0,1.4774,1,34.365,0,1.0047619047619047,1.0199004975124377,0,0.3172205438066465,0.3305921052631579,0,3
204,5907,ADD-LIFE PHARMA LTD.,20010331,12,IGAAP,0.9,0.4,,,,0.9,-13.3,-10.1,-13.3,-9.0,-9.2,-1022.2222,35.1,,0.0,4.1,5258570.0,,52.6,,,,52.5857,19.5,7.8,35.1,,,36.75,0.2233,0.6796,0.4,-2.3,-2.3,,2000,46.7,0.019271948608137045,1,-0.04925053533190577,0,0.01890359168241966,1,0,0,40.900000000001825,0.0,0.0,0.8969,0,52.5857,0,2.25,3.3333333333333335,0,0.008565310492505354,0.005671077504725898,1,3
207,5921,ADDI INDUSTRIES LTD.,20010331,12,IGAAP,528.8,527.0,0.1,0.1,,528.7,14.3,63.0,14.3,30.8,14.2,2.6858,467.5,,0.0,20.1,5745061.0,,57.5,,,,57.4506,283.4,162.2,467.5,,,458.0,0.345,1.1289,0.5723,26.7,26.7,,2000,450.0,1.174888888888889,1,0.059333333333333335,1,0.8336529242569511,1,0,0,458.7500000000017,0.0,0.0,1.2085,0,57.4506,0,1.003225806451613,1.0023054755043228,1,1.1711111111111112,0.8317353787152445,1,5
211,6076,ADHUNIK SYNTHETICS LTD.,20010331,12,IGAAP,100.3,99.2,0.4,0.4,,99.9,-80.5,-21.2,-80.5,-40.8,-80.3,-80.3804,217.6,,0.0,23.4,4559475.0,,45.7,,,,45.5947,-119.4,305.2,217.6,,,237.8,0.4964,0.8205,,0.9,5.2,,2000,260.1,0.38408304498269896,1,0.003460207612456747,1,0.41805298829328397,0,0,0,238.85000000000173,0.0,0.0,0.9224,0,45.5947,0,1.0070564516129032,1.0164794007490636,0,0.3813917723952326,0.411275415896488,0,2
214,6082,ADHUNIK YARNS LTD.,20010331,12,IGAAP,0.1,0.1,,,,0.1,-12.2,-0.2,-12.2,-4.5,-12.1,-12100.0000,69.6,,0.0,40.6,4580000.0,,45.8,,,,45.8,-39.4,67.5,69.6,,,70.9,0.1053,0.1211,,-0.3,-0.3,,2000,74.4,0.0013440860215053762,1,-0.004032258064516129,0,0.006134969325153374,0,0,0,72.0000000000017,0.0,0.0,0.0541,1,45.8,0,1.0,1.0,0,0.0013440860215053762,0.006134969325153374,0,2
221,6166,ADINATH TEXTILES LTD.,20010331,12,IGAAP,142.7,142.2,,,,142.7,-148.5,-54.2,-148.5,-80.2,-146.5,-102.6629,246.2,,0.0,105.2,8616800.0,2000.0,86.2,0.2,,,86.16799999999999,-69.3,207.0,246.2,,,294.05,0.4088,0.6822,,11.8,11.8,,2000,341.9,0.41737350102369114,1,0.03451301550160866,1,0.9562996594778661,0,0,0,294.0500000000017,0.0,0.0,1.0829,0,86.16799999999999,0,1.0035161744022503,1.0026777744718833,1,0.415911085112606,0.9537457434733259,0,3
224,6226,BLUE CLOUD SOFTECH SOLUTIONS LTD.,20010331,12,IGAAP,3.3,3.3,,,,3.3,-5.0,0.2,-5.0,-5.0,-5.0,-151.5152,81.4,,0.0,2.5,10500400.0,,105.0,,,,105.00399999999999,74.1,1.3,81.4,,,80.6,0.1071,0.1429,0.0175,0.0,,,2000,86.8,0.038018433179723504,1,0.0,0,0.02717391304347826,1,0,0,84.10000000000173,0.0,0.0,0.1562,0,105.00399999999999,0,1.0,1.0,0,0.038018433179723504,0.02717391304347826,1,3
