,sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_total_income,sa_sales,sa_prior_period_extra_ordi_inc,sa_prior_period_inc,sa_extra_ordi_inc,sa_tot_inc_net_of_pe,sa_pat,sa_pbdita,sa_pbt,sa_pbit_net_of_peoifi,sa_pat_net_of_pe,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_total_liabilities,sa_non_current_liabilities,sa_long_term_borrowings,sa_current_liabilities,sa_issued_equity_shares,sa_issued_pref_shares,sa_issued_equity_cap,sa_issued_pref_cap,sa_reduct_equity_cap_amt,sa_buyback_amt,sa_issued_equity_shares_in_lakhs,sa_shareholders_funds,sa_debt,sa_total_assets,sa_non_current_assets,sa_current_assets_incl_st_invest_loans,sa_avg_tot_asset_net_miscexp_now_reval,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cf_net_frm_op_activity,sa_cf_generated_frm_op,sa_cf_proceeds_share_issue,sa_year,sa_begin_year_total_assets,sa_roa,f_roa,sa_cfo,f_cfo,sa_prev_roa,f_del_roa,f_acc,f_del_lev,sa_avg_tot_assets,sa_leverage,sa_prev_leverage,sa_prev_current_ratio,f_del_liq,sa_prev_issued_equity_shares,f_eq_offer,sa_margin,sa_prev_margin,f_del_margin,sa_turnover,sa_prev_turnover,f_del_turn,f_score
5,289,A B C INDIA LTD.,20010331,12,IGAAP,1121.7,1103.6,9.0,,9.0,1112.7,8.8,77.9,16.0,41.4,4.4,0.3954,678.6,,0.0,115.7,5002362.0,,50.0,,,,50.0236,304.6,242.1,678.6,,,663.95,1.187,1.1922,0.7948,23.0,25.9,,2000,651.6,1.7076427255985267,1,0.035297728667894414,1,1.8326422292254108,0,0,0,665.0999999999999,0.0,0.0,1.1481,1,50.0236,0,1.0082457412105836,1.017403314917127,0,1.6936771025168813,1.8012937468900316,0,3
8,363,STARLOG ENTERPRISES LTD.,20010331,12,IGAAP,609.0,567.2,11.8,11.1,0.7,597.2,92.9,478.6,98.7,253.4,81.4,13.6303,2337.6,,0.0,255.8,11320200.0,9950000.0,113.2,99.5,,,113.20200000000001,1079.0,1071.3,2337.6,,,2391.85,1.1221,1.1638,1.0937,332.9,327.1,25.0,2000,2468.4,0.24193809755307083,1,0.13486468967752388,1,0.27986650046242306,0,0,0,2403.0,0.0,0.0,0.9655,1,113.20200000000001,0,1.0528913963328632,1.0745715609078277,0,0.22978447577378058,0.2604447303872291,0,3
11,365,A B G SHIPYARD LTD.,20010331,12,IGAAP,971.5,964.4,0.7,,0.7,970.8,17.9,162.9,23.4,127.7,17.6,1.8129,2097.7,,0.0,1367.7,12000000.0,,120.0,,,,120.0,280.1,420.1,2097.7,,,1960.05,0.0637,0.5629,1.4998,0.0,,,2000,1885.2,0.5149586250795671,1,0.0,0,0.4823317700948849,1,0,0,1991.4499999999994,0.0,0.0,0.7121,0,120.0,0,1.006636250518457,1.0462502957180033,0,0.5115637598132824,0.46100992474642816,1,3
14,400,A B L BIOTECHNOLOGIES LTD.,20010331,12,IGAAP,6.7,2.9,1.2,1.2,,5.5,-3.0,2.8,-3.0,-5.1,-4.1,-74.5455,55.2,,0.0,4.2,4100000.0,,41.0,,,,41.0,35.4,12.4,55.2,,,61.75,0.35,0.975,0.3503,1.0,1.0,,2000,73.3,0.07503410641200546,1,0.013642564802182811,1,0.24174372523117568,0,0,0,64.24999999999955,0.0,0.0,1.0977,0,41.0,0,1.896551724137931,1.1024096385542168,1,0.03956343792633015,0.2192866578599736,0,3
27,666,A C I INFOCOM LTD.,20010331,12,IGAAP,1222.2,1220.0,,,,1222.2,3.6,22.1,4.0,10.6,3.9,0.3191,474.6,,0.0,328.1,4560790.0,,45.6,,,,45.6079,118.3,18.0,474.6,,,326.7,0.7123,1.0468,0.1522,58.2,58.6,,2000,181.4,6.737596471885336,1,0.32083792723263505,1,0.9735557363710333,1,0,0,327.99999999999955,0.0,0.0,1.3422,0,44.0079,0,1.0018032786885247,1.0101308569016463,0,6.725468577728776,0.9637917005695688,1,4
30,783,A D F FOODS LTD.,20010331,12,IGAAP,436.3,433.1,,,,436.3,1.9,40.0,2.2,26.2,2.7,0.6188,443.1,,0.0,88.0,10780000.0,,104.0,,,,107.8,215.2,136.5,443.1,,,451.7,0.4225,1.1037,0.6343,13.2,14.3,,2000,460.3,0.9478600912448403,1,0.028676949815337822,1,0.9173902839708987,1,0,0,451.69999999999953,0.0,0.0,1.1535,0,100.234,0,1.0073885938582314,1.0072146354032465,1,0.9409081034108191,0.9108190565594931,1,5
33,830,A D S DIAGNOSTIC LTD.,20010331,12,IGAAP,24.0,23.9,,,,24.0,0.1,5.7,0.1,1.5,0.2,0.8333,55.3,,0.0,3.3,2297300.0,,23.0,,,,22.973000000000003,36.1,14.7,55.3,,,51.1,0.6709,0.8987,0.4072,5.5,6.5,,2000,48.0,0.5,1,0.11458333333333333,1,0.504149377593361,0,0,0,51.649999999999515,0.0,0.0,3.4444,0,22.973000000000003,0,1.00418410041841,1.0125,0,0.4979166666666666,0.49792531120331945,0,2
38,934,APEEJAY TEA LTD. [MERGED],20010331,12,IGAAP,959.0,908.8,,,,959.0,46.4,99.8,62.4,19.5,46.4,4.8384,2629.5,,0.0,239.9,6000000.0,,60.0,,,,60.0,826.0,22.9,2629.5,,,1160.9,0.3424,0.5096,0.0277,-128.1,-95.1,,2000,2646.2,0.36240646965459905,1,-0.048409039377220166,0,0.3831667228275113,0,0,0,2637.8499999999995,0.0,0.0,0.9583,0,60.0,0,1.055237676056338,1.066930775646372,0,0.3434358703045877,0.35912988131341494,0,1
43,1120,A I A ENGINEERING LTD.,20010331,12,IGAAP,1165.0,1135.2,2.8,2.8,0.0,1162.2,103.4,218.2,169.9,171.4,100.6,8.6560,882.5,,0.0,82.6,4810000.0,0.0,48.1,0.0,,,48.1,472.7,189.3,882.5,,,843.55,1.6873,1.9149,0.4005,0.0,,,2000,804.6,1.4444444444444444,1,0.0,0,1.8639004149377594,0,0,0,843.5499999999995,0.0,0.0,1.5982,1,48.1,0,1.0237843551797041,1.0295196186285296,0,1.4108873974645786,1.8104564315352696,0,2
60,1827,A M I COMPUTERS (I) LTD.,20010331,12,IGAAP,61.7,61.4,,,,61.7,4.9,10.3,5.9,5.8,5.0,8.1037,237.4,,0.0,3.1,10024400.0,,100.2,,,,100.244,185.5,43.8,237.4,,,190.25,1.2817,2.7123,0.2361,-124.5,-124.5,89.7,2000,145.8,0.4231824417009602,1,-0.8539094650205761,0,1.211818181818182,0,0,0,191.5999999999995,0.0,0.0,2.1554,1,61.244,0,1.004885993485342,1.1723834652594547,0,0.4211248285322359,1.0336363636363637,0,2
