,sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_total_income,sa_sales,sa_prior_period_extra_ordi_inc,sa_prior_period_inc,sa_extra_ordi_inc,sa_tot_inc_net_of_pe,sa_pat,sa_pbdita,sa_pbt,sa_pbit_net_of_peoifi,sa_pat_net_of_pe,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_total_liabilities,sa_non_current_liabilities,sa_long_term_borrowings,sa_current_liabilities,sa_issued_equity_shares,sa_issued_pref_shares,sa_issued_equity_cap,sa_issued_pref_cap,sa_reduct_equity_cap_amt,sa_buyback_amt,sa_issued_equity_shares_in_lakhs,sa_shareholders_funds,sa_debt,sa_total_assets,sa_non_current_assets,sa_current_assets_incl_st_invest_loans,sa_avg_tot_asset_net_miscexp_now_reval,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cf_net_frm_op_activity,sa_cf_generated_frm_op,sa_cf_proceeds_share_issue,sa_year,sa_begin_year_total_assets,sa_roa,f_roa,sa_cfo,f_cfo,sa_prev_roa,f_del_roa,f_acc,f_del_lev,sa_avg_tot_assets,sa_leverage,sa_prev_leverage,sa_prev_current_ratio,f_del_liq,sa_prev_issued_equity_shares,f_eq_offer,sa_margin,sa_prev_margin,f_del_margin,sa_turnover,sa_prev_turnover,f_del_turn,f_score
7,363,STARLOG ENTERPRISES LTD.,20070331,12,IGAAP,692.0,14.3,9.9,2.3,7.6,682.1,50.8,535.4,81.4,-376.5,40.9,5.9962,4494.0,,0.0,380.7,11320200.0,,128.2,,,,113.20200000000001,1848.5,2113.4,4494.0,,,3636.55,2.1619,2.1619,1.1433,237.1,272.0,487.5,2006,2779.1,0.2454391709546256,1,0.08531538987441978,1,0.3091940178661046,0,0,0,3636.55,0.0,0.0,1.4913,1,113.20200000000001,0,47.6993006993007,17.65329512893983,1,0.0051455507178583,0.017514804777677407,0,4
10,365,A B G SHIPYARD LTD.,20070331,12,IGAAP,7348.0,7043.6,133.7,120.3,13.4,7214.3,1162.9,2255.4,1773.9,1897.2,1041.1,14.4311,16359.9,,0.0,5147.8,50921801.0,,509.2,,,,509.218,5362.4,4095.7,16359.9,,,12789.6,0.0932,0.7194,0.7638,-3955.7,-3835.9,,2006,10270.0,0.7024634858812074,1,-0.38517039922103213,0,1.5194081954949712,0,0,0,13314.950000000003,0.0,0.0,1.1803,0,325.0,0,1.024234766312681,1.012293720234799,1,0.6858422590068161,1.5009558640179534,0,2
13,400,A B L BIOTECHNOLOGIES LTD.,20070331,12,IGAAP,141.1,140.1,,,,141.1,20.4,32.0,23.5,29.9,21.6,15.3083,273.9,,0.0,44.2,4100000.0,,41.0,,,,41.0,84.4,101.3,273.9,,,182.6,0.5770000000000001,0.8325,1.2002,17.9,20.0,16.5,2006,145.4,0.9704264099037138,1,0.12310866574965611,1,1.405128205128205,0,0,0,209.65000000000344,0.0,0.0,0.7565,1,41.0,0,1.0071377587437544,1.0009132420091325,1,0.9635488308115543,1.4038461538461537,0,4
16,414,A B M INTERNATIONAL LTD.,20070331,12,IGAAP,351.4,349.4,,,,351.4,0.1,2.4,0.8,-0.8,0.5,0.1423,198.5,,0.0,81.2,490000.0,,4.9,,,,4.9,110.5,1.6,198.5,,,183.25,1.3692,1.581,0.0145,15.9,16.6,,2006,168.0,2.0916666666666663,1,0.09464285714285714,1,2.539022611232677,0,0,0,183.25000000000347,0.0,0.0,2.1257,0,4.9,0,1.0057240984544935,1.0142773892773893,0,2.0797619047619045,2.5032822757111597,0,2
19,415,A B M KNOWLEDGEWARE LTD.,20070331,12,IGAAP,197.1,191.1,3.9,3.9,,193.2,11.7,30.3,20.7,20.5,12.0,6.2112,178.3,,0.0,60.0,10350000.0,,103.5,,,,103.5,99.8,8.3,178.3,,,145.1,1.5221,1.5221,0.0832,13.6,13.6,,2006,111.9,1.7265415549597853,1,0.12153708668453976,1,0.48055315471045806,1,0,0,145.1000000000035,0.0,0.0,6.6636,0,103.5,0,1.010989010989011,1.0296296296296297,0,1.7077747989276137,0.46672428694900603,1,4
25,612,A C E EDUTREND LTD.,20070331,12,IGAAP,32.6,31.4,0.3,0.3,,32.3,0.4,1.6,0.9,-0.3,0.1,0.3096,34.3,,0.0,0.8,3160900.0,,31.6,,,,31.609,32.8,,34.3,,,33.2,0.4444,20.2222,0.0,0.5,0.6,1.0,2006,32.1,1.0062305295950154,1,0.01557632398753894,1,1.4555160142348753,0,0,0,33.200000000003485,0.0,0.0,21.25,0,31.609,0,1.0286624203821655,1.0460358056265984,0,0.9781931464174454,1.3914590747330962,0,2
31,666,A C I INFOCOM LTD.,20070331,12,IGAAP,158.0,157.0,0.1,0.1,,157.9,-15.4,-7.3,-15.3,-12.4,-15.3,-9.6897,217.0,,0.0,117.3,8149090.0,,81.5,,,,81.4909,76.8,21.0,217.0,,,216.5,1.1019,1.4276,0.2734,14.6,14.7,,2006,216.0,0.7310185185185185,1,0.06759259259259259,1,1.541237113402062,0,0,0,216.5000000000035,0.0,0.0,1.3362,1,81.4909,0,1.0057324840764332,1.0030752026838132,1,0.7268518518518519,1.5365120274914088,0,4
34,783,A D F FOODS LTD.,20070331,12,IGAAP,805.6,785.5,,,,805.6,66.1,146.9,78.0,104.1,86.5,10.7373,783.8,,0.0,55.6,10023400.0,,100.2,,,,100.234,580.0,93.4,783.8,,,689.25,0.4526,1.0295,0.161,118.8,133.1,,2006,594.8,1.3544048419636854,1,0.19973100201748487,1,1.3148186103709778,1,0,0,689.3000000000034,0.0,0.0,1.1889,0,100.234,0,1.0255887969446214,1.0193866200540285,1,1.320611970410222,1.2898134863701578,1,5
37,830,A D S DIAGNOSTIC LTD.,20070331,12,IGAAP,34.3,34.0,0.1,0.1,,34.2,0.6,6.3,0.0,3.5,2.8,8.1871,62.4,,0.0,15.3,2297300.0,,23.0,,,,22.973000000000003,21.8,17.9,62.4,,,58.55,0.2415,0.8116,0.8211,8.5,9.1,,2006,54.7,0.6252285191956124,1,0.15539305301645337,1,0.49183303085299457,1,0,0,58.55000000000339,0.0,0.0,1.2571,0,22.973000000000003,0,1.0058823529411764,1.0,1,0.6215722120658135,0.49183303085299457,1,5
43,934,APEEJAY TEA LTD. [MERGED],20070331,12,IGAAP,1029.7,929.8,11.4,11.4,,1018.3,6.9,103.1,15.6,-34.1,-4.5,-0.4419,2482.2,,0.0,134.8,6000000.0,,60.0,,,,60.0,643.1,632.1,2482.2,,,1543.35,1.3138,1.6366,0.9829,10.5,-6.5,,2006,2728.9,0.3731540181025321,1,0.003847704203158782,1,0.4101380622697275,0,0,0,2605.550000000004,0.0,0.0,0.902,1,60.0,0,1.0951817595181759,1.0695808256783865,1,0.34072336839019385,0.38345682011417465,0,4
