,sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_total_income,sa_sales,sa_prior_period_extra_ordi_inc,sa_prior_period_inc,sa_extra_ordi_inc,sa_tot_inc_net_of_pe,sa_pat,sa_pbdita,sa_pbt,sa_pbit_net_of_peoifi,sa_pat_net_of_pe,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_total_liabilities,sa_non_current_liabilities,sa_long_term_borrowings,sa_current_liabilities,sa_issued_equity_shares,sa_issued_pref_shares,sa_issued_equity_cap,sa_issued_pref_cap,sa_reduct_equity_cap_amt,sa_buyback_amt,sa_issued_equity_shares_in_lakhs,sa_shareholders_funds,sa_debt,sa_total_assets,sa_non_current_assets,sa_current_assets_incl_st_invest_loans,sa_avg_tot_asset_net_miscexp_now_reval,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cf_net_frm_op_activity,sa_cf_generated_frm_op,sa_cf_proceeds_share_issue,sa_year,sa_begin_year_total_assets,sa_roa,f_roa,sa_cfo,f_cfo,sa_prev_roa,f_del_roa,f_acc,f_del_lev,sa_avg_tot_assets,sa_leverage,sa_prev_leverage,sa_prev_current_ratio,f_del_liq,sa_prev_issued_equity_shares,f_eq_offer,sa_margin,sa_prev_margin,f_del_margin,sa_turnover,sa_prev_turnover,f_del_turn,f_score
49,1120,A I A ENGINEERING LTD.,20070331,12,IGAAP,4370.7,4282.7,4.2,3.7,0.5,4366.5,669.2,1017.2,970.1,897.0,665.2,15.2342,5553.5,,0.0,375.5,17776380.0,,188.0,,,,177.7638,4256.3,,5553.5,,,4516.6,2.7952,3.2133,0.0,416.9,666.0,1225.2,2006,3479.7,1.2548495559962067,1,0.11980917895220852,1,1.792135158753277,0,0,0,4516.600000000004,0.0,0.0,1.8998,1,130.7638,0,1.0195670955238518,1.009947798680193,1,1.2307670201454148,1.7744829595106322,0,4
52,1144,A INFRASTRUCTURE LTD.,20070331,12,IGAAP,1694.2,1682.1,5.7,5.7,,1688.5,59.3,155.8,64.6,123.8,53.6,3.1744,1479.5,,0.0,390.0,6795150.0,86700.0,108.5,8.7,,,67.9515,219.6,634.1,1479.5,,,1055.65,0.258,0.6679,3.0066,-86.7,-79.7,,2006,1077.2,1.567489788340141,1,-0.08048644634236911,0,1.5170815450643778,1,0,0,1278.350000000004,0.0,0.0,0.9397,0,67.9515,0,1.0038047678497117,1.001586761872379,1,1.5615484589676938,1.5146781115879828,1,4
70,1621,A K SPINTEX LTD.,20070331,12,IGAAP,188.0,187.7,,,,188.0,2.0,17.1,0.8,8.8,3.7,1.9681,185.4,,0.0,11.6,3354500.0,,33.5,,,,33.545,57.7,105.9,185.4,,,160.95,0.5944,0.8995,1.8354,0.0,0.0,,2006,136.5,1.3772893772893773,1,0.0,0,1.259121370067014,1,0,0,160.95000000000405,0.0,0.0,1.8855,0,33.545,0,1.001598295151838,1.0011841326228537,1,1.375091575091575,1.2576321667907668,1,4
73,1827,A M I COMPUTERS (I) LTD.,20070331,12,IGAAP,2.3,2.3,,,,2.3,-6.7,-0.2,-6.7,-6.7,-6.7,-291.3043,20.5,,0.0,0.6,10024400.0,,100.2,,,,100.244,-27.4,43.8,20.5,,,23.85,0.0689,0.0689,,0.0,,,2006,27.2,0.08455882352941176,1,0.0,0,0.03728070175438596,1,0,0,23.850000000004037,0.0,0.0,0.0752,0,100.244,0,1.0,1.2142857142857144,0,0.08455882352941176,0.03070175438596491,1,3
76,2015,A N G INDUSTRIES LTD.,20070331,12,IGAAP,1145.3,1134.6,,,,1145.3,230.1,324.8,258.9,292.0,230.1,20.0908,1471.8,,0.0,176.7,9930000.0,,113.4,,,,99.3,641.7,546.3,1471.8,,,1171.65,0.7818,1.229,0.8513,-92.5,-51.1,,2006,922.5,1.2415176151761518,1,-0.1002710027100271,0,1.9133937562940586,0,0,0,1197.150000000004,0.0,0.0,1.5525,0,42.25,0,1.0094306363476115,1.0033444816053512,1,1.2299186991869917,1.9070157771064118,0,2
82,2080,A N S INDS. LTD.,20070331,12,IGAAP,145.1,132.9,,,,145.1,50.1,56.4,50.2,38.1,50.1,34.5279,160.6,,0.0,48.9,9255600.0,,92.6,,,,92.556,93.3,18.4,160.6,,,137.8,0.8589,0.8814,0.1972,24.3,24.4,,2006,116.1,1.2497846683893197,1,0.20930232558139536,1,0.20023282887077995,1,0,0,138.350000000004,0.0,0.0,0.2753,1,92.556,0,1.091798344620015,2.2337662337662336,0,1.1447028423772612,0.08963911525029103,1,5
85,2248,A P M INDUSTRIES LTD.,20070331,12,IGAAP,1610.0,1593.7,1.6,1.6,,1608.4,45.0,149.6,50.6,75.6,43.4,2.6983,1101.1,,0.0,122.1,4443416.0,,44.4,,,,44.4342,366.6,555.3,1101.1,,,997.35,0.7223,1.5519999999999998,1.5147,99.5,105.3,,2006,893.6,1.7999104744852283,1,0.11134735899731424,1,1.8694492753623189,0,0,0,997.350000000004,0.0,0.0,2.127,0,44.4342,0,1.0092238187864717,1.0129413242869707,0,1.7834601611459266,1.8455652173913042,0,2
88,2384,SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.,20070331,12,IGAAP,1166.8,1161.8,2.2,1.3,0.9,1164.6,72.4,144.2,112.6,116.0,70.2,6.0278,764.2,,0.0,161.7,6048000.0,,60.5,,,,60.48,327.7,116.2,764.2,,,693.95,1.1699,1.3328,0.3546,82.3,121.8,,2006,623.7,1.867243867243867,1,0.1319544652877986,1,1.946963394342762,0,0,0,693.9500000000044,0.0,0.0,1.4651,0,50.4,0,1.0024100533654674,1.0030001071466839,0,1.8627545294211958,1.9411397670549084,0,2
101,2773,ANIL SPECIAL STEEL INDS. LTD.,20070331,12,IGAAP,1100.5,1014.4,81.6,36.3,45.3,1018.9,54.5,126.5,66.9,8.3,-27.1,-2.6597,839.6,,0.0,132.8,6789178.0,,67.9,,,,67.8918,159.1,401.6,839.6,,,793.0,0.4963,0.9121,2.5242,47.2,74.4,,2006,849.7,1.1991291043897845,1,0.05554901730022361,1,1.1579872004015561,1,0,0,844.6500000000044,0.0,0.0,1.0323,0,45.6418,0,1.004436119873817,1.002280873248615,1,1.1938331175709074,1.1553519889572093,1,5
104,2842,A S M TECHNOLOGIES LTD.,20070331,12,IGAAP,304.0,298.6,,,,304.0,12.0,37.7,27.0,28.4,12.1,3.9803,167.9,,0.0,46.5,5000000.0,,50.0,,,,50.0,56.6,61.9,167.9,,,154.5,1.4567,1.4567,1.0936,16.3,16.3,,2006,141.1,2.154500354358611,1,0.11552090715804395,1,2.364705882352941,0,0,0,154.50000000000432,0.0,0.0,1.6048,0,50.0,0,1.0180843938379103,1.0100502512562815,1,2.116229624379873,2.341176470588235,0,3
107,2885,A S R AGRO LTD.,20070331,12,IGAAP,3.7,3.7,,,,3.7,-2.2,0.4,-2.1,-2.1,-2.2,-59.4595,22.9,,0.0,0.1,2831490.0,,28.3,,,,28.3149,0.3,22.4,22.9,,,23.65,1.7,2.7,74.6667,0.0,,,2006,25.1,0.14741035856573706,1,0.0,0,0.45312499999999994,0,0,0,24.00000000000433,0.0,0.0,2.5333,1,28.3149,0,1.0,1.0,0,0.14741035856573706,0.45312499999999994,0,2
110,3052,A T N INTERNATIONAL LTD.,20070331,12,IGAAP,16.0,10.8,3.5,3.5,,12.5,-3.3,7.6,-5.2,-8.1,-6.6,-52.8000,303.2,,0.0,1.4,39450000.0,,157.8,,,,394.5,169.8,104.6,303.2,,,307.7,92.6667,92.6667,0.616,-20.9,-20.9,,2006,312.2,0.04003843689942345,1,-0.066944266495836,0,0.05281621516273631,0,0,0,307.7000000000043,0.0,0.0,30.6591,1,394.5,0,1.1574074074074074,2.1338582677165356,0,0.03459320948110186,0.02475151042681738,1,3
113,3083,A T V PROJECTS INDIA LTD.,20070630,15,IGAAP,114.5,112.3,,,,114.5,-210.4,18.7,-210.4,-22.7,-210.4,-183.7555,2831.7,,0.0,413.0,53117425.0,,531.2,,,,531.1743,-2408.1,4807.2,2831.7,,,2827.65,0.1208,0.1481,,-4.6,-4.6,,2006,2823.6,0.04055106955659442,1,-0.0016291259385182036,0,0.03699485799082031,1,0,0,2827.6500000000046,0.0,0.0,0.155,0,531.1743,0,1.0195903829029387,1.1051546391752578,0,0.03977192236860745,0.033474824861096736,1,3
116,3149,TAVERNIER RESOURCES LTD.,20070331,12,IGAAP,217.7,214.2,2.9,0.7,2.2,214.8,-0.1,4.6,3.7,1.6,-2.4,-1.1173,82.7,,0.0,8.7,5991900.0,,59.9,,,,59.919,68.1,5.2,82.7,,,77.4,1.0753,1.0753,0.0764,6.3,5.1,7.6,2006,72.1,2.979195561719834,1,0.08737864077669903,1,0.37587657784011225,1,0,0,77.40000000000481,0.0,0.0,5.1034,0,59.919,0,1.0028011204481795,1.0229007633587788,0,2.970873786407767,0.36746143057503505,1,4
122,3303,ZENITH STEEL TUBES & INDS. LTD.,20070331,12,IGAAP,403.8,403.7,,,,403.8,-412.1,-1.7,-412.0,-15.8,-412.1,-102.0555,351.0,,0.0,935.1,3969100.0,,39.7,,,,39.691,-1873.0,1285.7,351.0,,,370.4,0.0907,0.1562,,2.4,2.5,,2006,389.8,1.0359158542842484,1,0.006157003591585428,1,1.0635608522932467,0,0,0,370.4000000000048,0.0,0.0,0.205,0,39.691,0,1.0002477086945751,1.0,1,1.0356593124679323,1.0635608522932467,0,3
125,3335,A V T NATURAL PRODUCTS LTD.,20070331,12,IGAAP,731.3,723.9,0.2,0.2,,731.1,87.3,192.2,136.6,165.0,88.1,12.0503,843.5,,0.0,32.5,3807100.0,,76.1,,,,38.071,352.0,339.9,843.5,,,795.0,0.7096,1.3227,0.9656,77.1,127.4,,2006,746.5,0.979370395177495,1,0.10328198258539852,1,1.274311606831649,0,0,0,795.0000000000047,0.0,0.0,1.3454,0,38.071,0,1.0099461251554083,1.0166852057842046,0,0.9697253851306095,1.2533983966538866,0,2
128,3624,AAKAR ENGINEERING & MFG. CO. LTD.,20070331,12,IGAAP,49.8,49.8,,,,49.8,-20.4,-10.0,-23.8,-16.8,-20.4,-40.9639,48.7,,0.0,,5000000.0,,50.0,,,,50.0,-27.7,76.4,48.7,,,55.8,0.1565,0.1565,,-0.1,-0.1,,2006,62.9,0.7917329093799682,1,-0.001589825119236884,0,1.1083521444695261,0,0,0,55.8000000000046,0.0,0.0,0.3899,0,50.0,0,1.0,1.0,0,0.7917329093799682,1.1083521444695261,0,1
134,3737,JAINEX AAMCOL LTD.,20070331,12,IGAAP,63.6,62.6,,,,63.6,5.9,12.7,9.3,10.2,6.0,9.4340,59.4,,0.0,7.0,546338.0,,5.5,,,,5.4634,17.5,17.4,59.4,,,36.45,1.4758,1.9758,0.9943,1.5,5.1,,2006,47.5,1.3389473684210527,1,0.031578947368421054,1,1.2216624685138537,1,0,0,53.4500000000046,0.0,0.0,1.5748,1,5.4634,0,1.0159744408945688,1.0041407867494825,1,1.3178947368421052,1.216624685138539,1,6
137,3768,AANKIT GRANITES LTD.,20070331,12,IGAAP,143.1,142.5,0.2,0.2,,142.9,-4.5,23.1,-4.1,-2.2,-4.4,-3.0791,135.9,,0.0,31.5,8162700.0,,81.6,,,,81.627,88.8,13.1,135.9,,,143.5,2.1024,3.3283,0.1475,8.3,8.3,,2006,151.1,0.9457313037723363,1,0.05493050959629385,1,0.9041353383458648,1,0,0,143.5000000000046,0.0,0.0,2.9731,1,81.627,0,1.0028070175438597,1.0041753653444678,0,0.9430840502978161,0.900375939849624,1,5
143,3889,AAREY DRUGS & PHARMACEUTICALS LTD.,20070331,12,IGAAP,230.8,230.4,0.4,0.3,0.1,230.4,8.8,15.3,10.1,10.1,8.4,3.6458,123.9,,0.0,40.0,5000400.0,,50.0,,,,50.004,71.5,9.0,123.9,,,105.7,1.1129,1.8641,0.1259,14.3,14.3,,2006,87.5,2.633142857142857,1,0.16342857142857142,1,4.282178217821782,0,0,0,105.70000000000461,0.0,0.0,3.5869999999999997,0,50.004,0,1.0,1.0,0,2.633142857142857,4.282178217821782,0,2
147,3990,AARTI DRUGS LTD.,20070331,12,IGAAP,3138.2,3133.0,,,,3138.2,127.7,370.4,160.2,267.6,128.0,4.0788,3457.6,,0.0,420.0,11708550.0,,117.1,,,,117.0855,973.0,1925.6,3457.6,,,3428.3,0.6796,1.169,1.979,271.2,290.2,,2006,3433.2,0.9140743329838051,1,0.07899335896539672,1,0.9743696893717788,0,0,0,3445.400000000004,0.0,0.0,1.1607,1,117.0855,0,1.0016597510373444,1.0023644049580855,0,0.9125597110567402,0.9720713191252264,0,3
150,3998,AARTI INDUSTRIES LTD.,20070331,12,IGAAP,7658.3,7536.4,54.7,4.0,50.7,7603.6,265.3,923.4,350.9,531.6,211.4,2.7803,7723.1,,0.0,943.9,72809424.0,,364.0,,,,728.0942,2573.1,3355.4,7723.1,,,7408.85,0.6934,1.13,1.304,599.0,669.4,,2006,7122.3,1.0675764851241873,1,0.0841020456874886,1,1.3963768499409077,0,0,0,7422.7000000000035,0.0,0.0,1.065,1,364.0471,0,1.008916724165384,1.0069323428774948,1,1.0581413307498981,1.3867633310402003,0,4
153,4024,AARVEE DENIMS & EXPORTS LTD.,20070331,12,IGAAP,2528.5,2499.1,14.3,,14.3,2514.2,303.5,593.5,370.2,400.9,290.2,11.5424,3853.5,,0.0,986.7,22487400.0,14991340.0,234.6,149.9,,,224.87400000000002,1813.7,937.5,3853.5,,,3195.6,0.2025,0.4822,0.5635,1180.9,1222.1,75.3,2006,2537.7,0.9907396461362651,1,0.46534263309295826,1,1.5038389261744967,0,0,0,3195.600000000005,0.0,0.0,0.6087,0,179.9,0,1.006042175183066,1.0084611507164973,0,0.9847893762068015,1.491221476510067,0,2
156,4030,AARVI ENCON LTD.,20070331,12,IGAAP,204.2,204.1,0.1,,0.1,204.1,11.2,22.4,17.0,19.5,11.1,5.4385,71.1,,0.0,19.2,10000.0,,1.0,,,,0.1,21.3,22.7,71.1,,,56.15,1.1273,1.1273,1.0657,0.0,,,2006,41.2,4.9538834951456305,1,0.0,0,3.3412462908011866,1,0,0,56.150000000004816,0.0,0.0,1.1777,0,0.1,0,1.0,1.0017793594306048,0,4.9538834951456305,3.3353115727002964,1,3
160,4132,AASWA TRADING & EXPORTS LTD.,20070331,12,IGAAP,34.7,33.7,,,,34.7,0.4,0.6,0.6,-0.4,0.4,1.1527,14.7,,0.0,0.9,720000.0,,7.2,,,,7.2,13.6,,14.7,,,14.75,0.2727,0.2727,0.0,-1.2,-1.0,,2006,14.8,2.3445945945945947,1,-0.08108108108108107,0,1.586894586894587,1,0,0,14.750000000004817,0.0,0.0,0.4375,0,7.2,0,1.029673590504451,1.0108892921960073,1,2.277027027027027,1.5698005698005697,1,4
166,4253,ABAN OFFSHORE LTD.,20070331,12,IGAAP,5645.8,4967.1,119.1,,119.1,5526.7,996.0,3312.7,1711.2,1623.3,876.9,15.8666,18976.4,,0.0,932.7,36886595.0,306000000.0,73.9,3060.0,,,368.8659,6624.5,13409.7,18976.4,,,15895.7,0.7693,0.9578,3.762,1915.5,2564.9,1584.4,2006,12815.0,0.43126804525946155,1,0.14947327350760828,1,0.4770404069959508,0,0,0,15895.700000000003,0.0,0.0,0.8381,1,73.7732,0,1.112661311429204,1.0284894487291671,1,0.3876004682013266,0.463826252749016,0,4
169,4320,ABEE INFO-CONSUMABLES LTD.,20070331,12,IGAAP,17.7,17.0,0.1,0.1,,17.6,-0.5,3.6,-1.0,0.2,-0.6,-3.4091,162.9,,0.0,4.6,10000000.0,,100.0,,,,100.0,93.6,39.5,162.9,,,140.25,0.8519,0.963,0.42200000000000004,0.0,,,2006,162.7,0.10817455439459128,1,0.0,0,0.15611192930780557,0,0,0,162.8000000000018,0.0,0.0,1.0208,0,100.0,0,1.035294117647059,1.0392156862745099,0,0.10448678549477566,0.150220913107511,0,1
179,4671,RADICO KHAITAN LTD.,20070331,12,IGAAP,9965.6,9776.8,46.4,46.4,,9919.2,259.1,999.6,366.7,605.5,259.9,2.6202,9622.2,,0.0,705.7,96447940.0,5768276.0,192.9,576.8,,,964.4794,2232.8,6679.4,9622.2,,,7561.85,0.9479,1.139,4.0335,-15.8,144.0,920.0,2006,5721.4,1.7337015415807322,1,-0.0027615618554899155,0,2.038841391509434,0,0,0,7671.800000000004,0.0,0.0,0.6312,1,192.8959,0,1.0145650928729237,1.000711443385988,1,1.7088125284021394,2.0373919025157234,0,3
182,4680,ABHISHEK CORPORATION LTD.,20070331,12,IGAAP,908.9,812.1,94.0,94.0,,814.9,218.9,346.4,263.5,222.1,136.6,16.7628,1822.7,,0.0,142.8,9908462.0,,140.1,,,,99.0846,1087.5,507.5,1822.7,,,1464.3,1.3354,2.4169,0.4667,65.1,144.1,410.0,2006,1147.6,0.7100906239107704,1,0.0567270826071802,1,0.7097348842083202,1,0,0,1485.1500000000033,0.0,0.0,1.4976,1,60.0,0,1.003447851249846,1.0056421677802523,0,0.7076507493900315,0.7057529078906005,1,5
185,4709,TRIDENT LTD.,20070331,12,IGAAP,8702.7,8348.4,138.7,112.9,25.8,8564.0,409.4,1866.0,594.7,719.9,368.8,4.3064,15458.0,,0.0,868.3,194194675.0,,1941.9,,,,1941.9468,3994.5,9877.6,15458.0,,,13641.35,0.2595,0.8161,2.4728,1081.7,1270.3,,2006,11824.7,0.7242467039332922,1,0.09147800789872047,1,0.8709405985627218,0,0,0,13641.350000000002,0.0,0.0,0.8347,0,1941.9468,0,1.0258253078434192,1.0108750164972944,1,0.7060136832224072,0.861570999727099,0,3
188,4831,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.,20070331,12,IGAAP,14.1,5.9,,,,14.1,1.7,10.5,2.2,-5.7,1.7,12.0567,74.9,,0.0,2.9,6000000.0,,60.0,,,,60.0,69.0,,74.9,,,75.7,3.1818,3.1818,0.0,21.5,22.0,,2006,76.5,0.18431372549019606,1,0.28104575163398693,1,0.13566433566433567,1,1,0,75.70000000000182,0.0,0.0,20.3333,0,60.0,0,2.389830508474576,1.7321428571428572,1,0.07712418300653595,0.07832167832167831,0,5
191,5003,INSPIRISYS SOLUTIONS LTD.,20070331,12,IGAAP,2022.6,1993.5,0.2,0.2,,2022.4,117.4,278.1,173.8,202.2,118.0,5.8347,2031.9,,0.0,443.6,17333333.0,,225.1,,,,173.3333,1002.8,494.4,2031.9,,,1759.15,0.9301,1.078,0.493,239.7,259.9,321.0,2006,1486.4,1.3606027987082885,1,0.161262109795479,1,1.3831393519974835,0,0,0,1759.1500000000017,0.0,0.0,0.9272,1,173.3333,0,1.0144971156257838,1.0181776079657288,0,1.341159849300323,1.3584460522176787,0,3
194,5206,ACCURATE TRANSFORMERS LTD.,20070331,12,IGAAP,1827.5,1805.8,17.5,,17.5,1810.0,64.4,142.9,73.5,114.2,46.9,2.5912,1078.8,,0.0,540.7,3037100.0,,30.4,,,,30.371,269.8,251.9,1078.8,,,955.8,1.1536,1.203,0.9337,6.1,11.6,22.8,2006,832.8,2.1733909702209417,1,0.007324687800192123,1,2.764798323729701,0,0,0,955.8000000000014,0.0,0.0,1.141,1,30.371,0,1.0023258389633403,1.001708104004555,1,2.1683477425552353,2.760083813514929,0,4
197,5284,ACE SOFTWARE EXPORTS LTD.,20070331,12,IGAAP,53.7,45.3,0.1,0.1,,53.6,4.4,8.2,5.0,-3.3,4.4,8.2090,127.5,,0.0,1.5,5121726.0,,51.2,,,,51.2173,115.6,3.8,127.5,,,127.35,2.6786,3.125,0.0329,-4.7,-4.7,,2006,127.2,0.42138364779874216,1,-0.036949685534591194,0,0.42467948717948717,0,0,0,127.35000000000147,0.0,0.0,3.0308,1,51.2173,0,1.1832229580573952,1.0663983903420522,1,0.35613207547169806,0.3982371794871795,0,3
200,5396,ACKNIT INDUSTRIES LTD.,20070331,12,IGAAP,346.1,332.5,5.1,0.2,4.9,341.0,17.8,48.8,31.0,24.6,13.6,3.9883,342.9,,0.0,25.7,3000000.0,,30.0,,,,30.0,171.2,107.0,342.9,,,327.4,0.6526,1.1746,0.625,13.5,18.8,,2006,311.9,1.0932991343379288,1,0.04328310355883296,1,1.2125407166123778,0,0,0,327.40000000000146,0.0,0.0,0.8348,1,30.0,0,1.025563909774436,1.0628122769450394,0,1.06604680987496,1.1408794788273615,0,3
203,5417,PROVOGUE (INDIA) LTD.,20070331,12,IGAAP,2406.4,2386.7,,,,2406.4,196.0,344.4,232.0,276.4,197.7,8.2156,3681.6,,0.0,377.7,16197608.0,,191.0,,,,161.9761,2625.9,550.1,3681.6,,,2800.3,0.7544,1.7846,0.2095,-138.3,-99.9,1305.0,2006,1920.0,1.2533333333333334,1,-0.07203125,0,1.6685405176071277,0,0,0,2800.8000000000015,0.0,0.0,2.0465,0,121.4821,0,1.0082540746637618,1.0057541077936194,1,1.2430729166666665,1.658994484514213,0,2
