,sa_company_name,f_score
144,DECCAN POLYPACKS LTD.,5
145,DEEPAK NITRITE LTD.,6
146,DEEPAK SPINNERS LTD.,5
147,VELJAN DENISON LTD.,5
148,DENSO INDIA PVT. LTD.,6
149,CHENNAI MEENAKSHI MULTISPECIALITY HOSPITAL LTD.,5
150,DHAMPURE SPECIALTY SUGARS LTD.,5
151,DHANLAXMI COTEX LTD.,5
152,DHANVANTRI JEEVAN REKHA LTD.,5
153,DINA IRON & STEEL LTD.,5
154,DOLPHIN HOTELS PVT. LTD.,5
155,DR. REDDY'S LABORATORIES LTD.,5
156,MANGALAM ORGANICS LTD.,5
157,EASTERN SILK INDS. LTD.,5
158,EASTCOAST STEEL LTD.,5
159,EASTERN SUGAR & INDS. LTD.,5
160,EBERS PHARMACEUTICALS LTD.,6
161,EICHER MOTORS LTD.,5
162,ELECTROTHERM (INDIA) LTD.,5
163,ELGI EQUIPMENTS LTD.,5
164,ELLORA PAPER MILLS LTD.,5
165,EMA INDIA LTD.,5
166,ENCHANTE JEWELLERY LTD.,5
167,HINDUJA FOUNDRIES LTD. [MERGED],5
168,ENTERPRISE INTERNATIONAL LTD.,5
169,ESENES FORGINGS LTD.,5
170,ESSKAY PHARMACEUTICALS LTD.,5
171,ESTER INDUSTRIES LTD.,5
172,EURO MARINE PRODUCTS LTD.,5
173,EUROPEAN SOFTWARE ALLIANCES LTD.,5
174,EVEREADY INDUSTRIES (INDIA) LTD.,5
175,SCHAEFFLER INDIA LTD.,5
176,F C L TECHNOLOGIES & PRODUCTS LTD. [MERGED],6
177,FAIRDEAL FILAMENTS LTD. [MERGED],5
178,FENOPLAST LTD.,6
179,FERRO ALLOYS CORPN. LTD.,5
180,FILMCITY MEDIA LTD.,5
181,63 MOONS TECHNOLOGIES LTD.,5
182,FINE-LINE CIRCUITS LTD.,5
183,FINOLEX CABLES LTD.,5
184,JHAVERI FLEXO INDIA PVT. LTD.,5
185,FLOATGLASS INDIA LTD. [MERGED],5
186,FLUIDOMAT LTD.,6
187,FOMENTO RESORTS & HOTELS LTD.,5
188,FOSECO INDIA LTD.,5
189,FRESHTROP FRUITS LTD.,5
190,MEYER APPAREL LTD.,5
191,G K N DRIVELINE (INDIA) LTD.,6
192,G M B CERAMICS LTD.,5
193,G R CABLES LTD.,6
194,GOLDEN TOBACCO LTD.,5
195,G T L LTD.,6
196,G T N INDUSTRIES LTD.,5
197,G V FILMS LTD.,5
198,GANESHA ECOSPHERE LTD.,5
199,GANGOTRI IRON & STEEL CO. LTD.,5
200,GARDEN SILK MILLS LTD.,6
201,GARG FURNACE LTD.,6
202,GARWARE POLYESTER LTD.,5
203,G A I L (INDIA) LTD.,5
204,GEM SPINNERS INDIA LTD.,5
205,GENUS POWER INFRASTRUCTURES LTD.,5
206,GINI SILK MILLS LTD.,5
207,GINNI FILAMENTS LTD.,5
208,GIRDHARILAL SUGAR & ALLIED INDS. LTD.,5
209,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,6
210,GLOBAL INFRASTRUCTURE & TECHNOLOGIES LTD.,5
211,GODREJ INDUSTRIES LTD.,5
212,GONTERMANN-PEIPERS (INDIA) LTD.,5
213,GOODYEAR INDIA LTD.,5
214,GOPALA POLYPLAST LTD.,5
215,G W L PROPERTIES LTD.,5
216,GRABAL ALOK IMPEX LTD. [MERGED],6
217,GRANULES INDIA LTD.,5
218,GRASIM INDUSTRIES LTD.,5
219,GREAT EASTERN SHIPPING CO. LTD.,5
220,GREAVES COTTON LTD.,5
221,GUJARAT ALKALIES & CHEMICALS LTD.,6
222,GUJARAT AMBUJA EXPORTS LTD.,5
223,MUNJAL AUTO INDS. LTD.,6
224,GUJARAT INDUSTRIES POWER CO. LTD.,5
225,GUJARAT J H M HOTELS LTD.,5
226,GUJARAT MINERAL DEVP. CORPN. LTD.,5
227,GUJARAT N R E COKE LTD.,6
228,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.,5
229,GUJARAT POLY ELECTRONICS LTD.,6
230,GUJARAT PROPACK LTD. [MERGED],5
231,GUJARAT RAFFIA INDS. LTD.,5
232,H E G LTD.,5
233,H P COTTON TEXTILE MILLS LTD.,5
234,H S INDIA LTD.,5
235,HANIL ERA TEXTILES LTD.,6
236,HANJER FIBRES LTD.,5
237,HARDCASTLE & WAUD MFG. CO. LTD.,5
238,HARIA EXPORTS LTD.,5
239,HARTRON COMMUNICATIONS LTD.,5
240,HARYANA LEATHER CHEMICALS LTD.,5
241,S I GROUP-INDIA PVT. LTD.,5
242,HERITAGE FOODS LTD.,5
243,HERO MOTOCORP LTD.,5
244,HESTER BIOSCIENCES LTD.,5
245,H F C L LTD.,5
246,HIMATSINGKA SEIDE LTD.,5
247,HIND INDUSTRIES LTD.,5
248,HIND RECTIFIERS LTD.,5
249,HINDALCO INDUSTRIES LTD.,5
250,HINDUSTAN EVEREST TOOLS LTD.,5
251,HINDUSTAN FLUORO CARBONS LTD.,5
