sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_total_income,sa_sales,sa_prior_period_extra_ordi_inc,sa_prior_period_inc,sa_extra_ordi_inc,sa_tot_inc_net_of_pe,sa_pat,sa_pbdita,sa_pbt,sa_pbit_net_of_peoifi,sa_pat_net_of_pe,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_total_liabilities,sa_non_current_liabilities,sa_long_term_borrowings,sa_current_liabilities,sa_issued_equity_shares,sa_issued_pref_shares,sa_issued_equity_cap,sa_issued_pref_cap,sa_reduct_equity_cap_amt,sa_buyback_amt,sa_issued_equity_shares_in_lakhs,sa_shareholders_funds,sa_debt,sa_total_assets,sa_non_current_assets,sa_current_assets_incl_st_invest_loans,sa_avg_tot_asset_net_miscexp_now_reval,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cf_net_frm_op_activity,sa_cf_generated_frm_op,sa_cf_proceeds_share_issue,sa_year
11,20 MICRONS LTD.,20010331,12,IGAAP,447.1,442.2,2.1,,2.1,445.0,22.7,95.0,25.8,70.7,23.8,5.3483,779.4,,,86.3,12413229.0,,124.1,,,,124.1323,367.7,306.1,779.4,,,717.75,1.1219,1.9247,0.8325,,,,2000
11,20 MICRONS LTD.,20020331,12,IGAAP,407.7,401.5,1.8,,1.8,405.9,-0.6,59.7,-0.2,44.2,7.5,1.8477,829.9,,,107.0,12444800.0,,124.4,,,,124.448,366.9,337.5,829.9,,,787.15,0.9132,1.6017,0.9199,,,,2001
11,20 MICRONS LTD.,20030331,12,IGAAP,469.5,462.5,,,,469.5,-8.9,51.2,-15.9,19.8,-7.4,-1.5761,850.5,,,94.8,12444800.0,,124.4,,,,124.448,281.5,376.2,850.5,,,820.1,0.7345,1.3934,1.3364,43.1,35.4,,2002
289,A B C INDIA LTD.,20010331,12,IGAAP,1121.7,1103.6,9.0,,9.0,1112.7,8.8,77.9,16.0,41.4,4.4,0.3954,678.6,,,115.7,5002362.0,,50.0,,,,50.0236,304.6,242.1,678.6,,,663.95,1.187,1.1922,0.7948,23.0,25.9,,2000
289,A B C INDIA LTD.,20020331,12,IGAAP,995.5,973.4,12.5,12.2,0.3,983.0,8.7,79.2,14.4,31.8,-3.0,-0.3052,635.3,,,87.0,5002362.0,,50.0,,,,50.0236,260.5,230.0,635.3,,,656.15,1.319,1.3248,0.8829,37.0,52.2,,2001
289,A B C INDIA LTD.,20030331,12,IGAAP,1003.4,992.9,1.6,1.5,0.1,1001.8,8.5,72.1,18.5,42.9,8.3,0.8285,694.7,,,129.4,5002362.0,,50.0,,,,50.0236,269.6,230.8,694.7,,,664.55,1.2825,1.2877,0.8561,64.0,64.3,,2002
363,STARLOG ENTERPRISES LTD.,20010331,12,IGAAP,609.0,567.2,11.8,11.1,0.7,597.2,92.9,478.6,98.7,253.4,81.4,13.6303,2337.6,,,255.8,11320200.0,9950000.0,113.2,99.5,,,113.202,1079.0,1071.3,2337.6,,,2391.85,1.1221,1.1638,1.0937,332.9,327.1,25.0,2000
363,STARLOG ENTERPRISES LTD.,20020331,12,IGAAP,625.6,30.1,0.9,0.1,0.8,624.7,71.4,461.8,77.4,-340.5,82.2,13.1583,2035.9,,,230.1,11320200.0,9950000.0,113.2,99.5,,,113.202,1169.0,733.4,2035.9,,,2183.2,1.5477,1.5477,0.6857,406.8,432.6,17.3,2001
363,STARLOG ENTERPRISES LTD.,20030331,12,IGAAP,602.7,0.8,28.8,25.6,3.2,573.9,92.0,477.3,99.3,-309.3,63.2,11.0124,1940.0,,,125.6,11320200.0,1750000.0,113.2,7.0,,,113.202,1026.8,698.7,1940.0,,,1985.7,3.5791,3.5791,0.6851,287.7,317.8,-134.8,2002
365,A B G SHIPYARD LTD.,20010331,12,IGAAP,971.5,964.4,0.7,,0.7,970.8,17.9,162.9,23.4,127.7,17.6,1.8129,2097.7,,,1367.7,12000000.0,,120.0,,,,120.0,280.1,420.1,2097.7,,,1960.05,0.0637,0.5629,1.4998,,,,2000
365,A B G SHIPYARD LTD.,20020630,15,IGAAP,1582.6,1535.3,0.7,,0.7,1581.9,62.1,407.4,87.1,329.8,74.9,4.7348,4059.1,,,2350.0,13000000.0,,130.0,,,,130.0,442.4,629.1,4059.1,,,2750.4,0.0717,0.7044,1.422,-11.9,-0.6,100.0,2001
365,A B G SHIPYARD LTD.,20030331,9,IGAAP,1514.4,1477.5,0.4,,0.4,1514.0,27.4,163.4,35.8,103.5,27.5,1.8164,4337.3,,,2929.3,13000000.0,,130.0,,,,130.0,411.0,321.2,4337.3,,,3582.65,0.0555,0.7283,0.7815,425.3,435.7,,2002
400,A B L BIOTECHNOLOGIES LTD.,20010331,12,IGAAP,6.7,2.9,1.2,1.2,,5.5,-3.0,2.8,-3.0,-5.1,-4.1,-74.5455,55.2,,,4.2,4100000.0,,41.0,,,,41.0,35.4,12.4,55.2,,,61.75,0.35,0.975,0.3503,1.0,1.0,,2000
400,A B L BIOTECHNOLOGIES LTD.,20020331,12,IGAAP,5.7,0.2,3.0,3.0,,2.7,-10.5,-3.3,-10.5,-14.3,-13.5,-500.0000,43.2,,,2.3,4100000.0,,41.0,,,,41.0,24.5,12.7,43.2,,,46.1,0.0435,0.0435,0.5184,-0.2,-0.2,,2001
400,A B L BIOTECHNOLOGIES LTD.,20030331,12,IGAAP,3.3,1.7,0.2,0.2,,3.1,-1.3,0.5,-1.3,-2.9,-1.5,-48.3871,43.3,,,3.7,4100000.0,,41.0,,,,41.0,23.0,12.7,43.3,,,39.85,0.0308,0.0692,0.5522,0.1,1.2,,2002
414,A B M INTERNATIONAL LTD.,20010331,12,IGAAP,220.6,214.6,2.5,2.5,,218.1,0.7,5.7,0.8,-2.4,-1.8,-0.8253,151.6,,,26.4,490000.0,,4.9,,,,4.9,112.2,6.0,151.6,,,153.25,1.924,2.1871,0.0535,16.3,20.5,,2000
414,A B M INTERNATIONAL LTD.,20020331,12,IGAAP,419.1,402.7,1.3,1.3,,417.8,-9.0,7.9,-8.9,-9.8,-10.3,-2.4653,149.9,,,21.7,490000.0,,4.9,,,,4.9,103.3,21.5,149.9,,,150.75,2.8805,2.9562,0.2081,14.5,17.9,,2001
