sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_total_income,sa_sales,sa_prior_period_extra_ordi_inc,sa_prior_period_inc,sa_extra_ordi_inc,sa_tot_inc_net_of_pe,sa_pat,sa_pbdita,sa_pbt,sa_pbit_net_of_peoifi,sa_pat_net_of_pe,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_total_liabilities,sa_non_current_liabilities,sa_long_term_borrowings,sa_current_liabilities,sa_issued_equity_shares,sa_issued_pref_shares,sa_issued_equity_cap,sa_issued_pref_cap,sa_reduct_equity_cap_amt,sa_buyback_amt,sa_issued_equity_shares_in_lakhs,sa_shareholders_funds,sa_debt,sa_total_assets,sa_non_current_assets,sa_current_assets_incl_st_invest_loans,sa_avg_tot_asset_net_miscexp_now_reval,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cf_net_frm_op_activity,sa_cf_generated_frm_op,sa_cf_proceeds_share_issue,sa_year
199839,ROSEKAMAL TEXTILES LTD.,20050331,12,IGAAP,12.4,3.4,,,,12.4,7.8,8.4,8.0,-1.0,7.8,62.9032,73.2,,,0.1,1000000.0,,10.0,,,,10.0,72.5,,73.2,,,69.7,48.5,48.5,0.0,-0.6,-0.6,,2004
199839,ROSEKAMAL TEXTILES LTD.,20060331,12,IGAAP,12.4,6.6,,,,12.4,4.6,5.4,5.1,-0.5,4.6,37.0968,78.2,,,0.3,1000000.0,,10.0,,,,10.0,77.3,,78.2,,,75.7,37.875,37.875,0.0,-1.8,-1.8,,2005
199842,ROSELABS FINANCE LTD.,20040331,12,IGAAP,1.6,,,,,1.6,-4.1,0.9,-4.1,-0.7,-3.8,-237.5000,86.8,,,0.1,10000000.0,,100.0,,,,100.0,86.4,,86.8,,,89.15,12.0,166.0,0.0,-1.4,-1.4,,2003
199842,ROSELABS FINANCE LTD.,20050331,12,IGAAP,2.4,,,,,2.4,-1.1,1.5,-1.1,-1.2,-1.1,-45.8333,86.0,,,0.4,10000000.0,,100.0,,,,100.0,85.6,,86.0,,,86.25,0.75,45.75,0.0,-2.0,-2.0,,2004
199842,ROSELABS FINANCE LTD.,20060331,12,IGAAP,3.1,,,,,3.1,1.0,2.1,1.1,-1.0,1.0,32.2581,86.8,,,0.1,10000000.0,,100.0,,,,100.0,86.6,,86.8,,,86.4,2.5,81.5,0.0,1.5,1.5,,2005
199843,KRIPTOL INDUSTRIES LTD.,20040630,12,IGAAP,21.6,21.4,,,,21.6,0.1,2.2,0.1,1.1,1.1,5.0926,93.7,,,5.5,5970000.0,,59.7,,,,59.7,85.6,2.6,93.7,,,93.9,7.6607,8.5179,0.0304,-2.3,-2.3,,2003
199843,KRIPTOL INDUSTRIES LTD.,20050630,12,IGAAP,32.6,31.4,,,,32.6,0.5,2.4,0.5,0.4,1.3,3.9877,98.9,,,9.3,5970000.0,,59.7,,,,59.7,86.1,3.5,98.9,,,96.3,4.3333,4.5588,0.0407,-4.5,-4.5,,2004
199843,KRIPTOL INDUSTRIES LTD.,20060331,12,IGAAP,52.3,51.6,,,,52.3,1.6,4.1,1.9,1.6,1.7,3.2505,123.1,,,12.5,11370000.0,,113.7,,,,113.7,105.7,4.7,123.1,,,111.0,4.4694,5.1565,0.0445,-36.8,-36.6,54.0,2005
199869,RADFORD GLOBAL LTD.,20050331,12,IGAAP,,,,,,,,,,,,0,54.9,,,,6041600.0,,60.4,,,,60.416,50.6,,54.9,,,,,,0.0,,,,2004
199869,RADFORD GLOBAL LTD.,20060331,12,IGAAP,,,,,,,,,,,,0,54.9,,,,6041600.0,,60.4,,,,60.416,50.6,,54.9,,,50.6,,,0.0,,,,2005
