sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_total_income,sa_sales,sa_prior_period_extra_ordi_inc,sa_prior_period_inc,sa_extra_ordi_inc,sa_tot_inc_net_of_pe,sa_pat,sa_pbdita,sa_pbt,sa_pbit_net_of_peoifi,sa_pat_net_of_pe,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_total_liabilities,sa_non_current_liabilities,sa_long_term_borrowings,sa_current_liabilities,sa_issued_equity_shares,sa_issued_pref_shares,sa_issued_equity_cap,sa_issued_pref_cap,sa_reduct_equity_cap_amt,sa_buyback_amt,sa_issued_equity_shares_in_lakhs,sa_shareholders_funds,sa_debt,sa_total_assets,sa_non_current_assets,sa_current_assets_incl_st_invest_loans,sa_avg_tot_asset_net_miscexp_now_reval,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cf_net_frm_op_activity,sa_cf_generated_frm_op,sa_cf_proceeds_share_issue,sa_year
11,20 MICRONS LTD.,19990331,12,IGAAP,306.3,304.9,,,,306.3,26.6,76.0,29.8,62.4,27.1,8.8475,592.5,,,64.2,7904193.0,,79.0,,,,79.0419,186.8,324.3,592.5,,,545.7,0.8693,1.5777,1.7361,,,,1998
11,20 MICRONS LTD.,20000331,12,IGAAP,356.1,354.2,,,,356.1,31.0,89.2,35.4,74.3,33.4,9.3794,685.7,,,75.8,9489744.0,,94.9,,,,94.8974,277.6,316.8,685.7,,,628.9,1.0581,1.8924,1.1412,,,,1999
11,20 MICRONS LTD.,20010331,12,IGAAP,447.1,442.2,2.1,,2.1,445.0,22.7,95.0,25.8,70.7,23.8,5.3483,779.4,,,86.3,12413229.0,,124.1,,,,124.1323,367.7,306.1,779.4,,,717.75,1.1219,1.9247,0.8325,,,,2000
289,A B C INDIA LTD.,19990331,12,IGAAP,1130.2,1122.0,2.3,2.2,0.1,1127.9,10.1,69.9,18.2,48.0,12.4,1.0994,602.9,,,101.4,5002362.0,,50.0,,,,50.0236,292.7,194.2,602.9,,,581.4,1.5433,1.5458,0.6635,45.7,46.8,,1998
289,A B C INDIA LTD.,20000331,12,IGAAP,1106.1,1086.0,1.2,1.1,0.1,1104.9,11.8,79.9,19.8,36.1,11.2,1.0137,651.6,,,106.8,5002362.0,,50.0,,,,50.0236,297.0,232.4,651.6,,,625.8,1.144,1.1481,0.7825,38.9,47.4,,1999
289,A B C INDIA LTD.,20010331,12,IGAAP,1121.7,1103.6,9.0,,9.0,1112.7,8.8,77.9,16.0,41.4,4.4,0.3954,678.6,,,115.7,5002362.0,,50.0,,,,50.0236,304.6,242.1,678.6,,,663.95,1.187,1.1922,0.7948,23.0,25.9,,2000
363,STARLOG ENTERPRISES LTD.,19990331,12,IGAAP,696.6,622.3,3.2,0.4,2.8,693.4,118.3,535.8,118.5,294.7,118.4,17.0753,2486.9,,,384.4,11320200.0,,113.2,,,,113.202,889.9,1204.2,2486.9,,,2437.25,1.0219,1.0359,1.4467,504.1,514.7,44.5,1998
363,STARLOG ENTERPRISES LTD.,20000331,12,IGAAP,696.8,647.7,0.8,,0.8,696.0,115.6,518.6,116.9,294.8,118.2,16.9828,2468.4,,,324.4,11320200.0,9950000.0,113.2,99.5,,,113.202,986.6,1203.6,2468.4,,,2449.2,0.9655,0.9655,1.3568,356.4,371.0,15.0,1999
363,STARLOG ENTERPRISES LTD.,20010331,12,IGAAP,609.0,567.2,11.8,11.1,0.7,597.2,92.9,478.6,98.7,253.4,81.4,13.6303,2337.6,,,255.8,11320200.0,9950000.0,113.2,99.5,,,113.202,1079.0,1071.3,2337.6,,,2391.85,1.1221,1.1638,1.0937,332.9,327.1,25.0,2000
365,A B G SHIPYARD LTD.,19990331,12,IGAAP,944.9,911.5,12.7,5.1,7.6,932.2,4.0,148.0,6.5,86.8,0.2,0.0215,1833.8,,,1150.9,12000000.0,,120.0,,,,120.0,247.1,395.9,1833.8,,,1766.55,0.1103,0.7748,1.6022,,,,1998
365,A B G SHIPYARD LTD.,20000331,12,IGAAP,885.2,845.4,0.7,0.6,0.1,884.5,14.1,158.7,16.6,89.7,13.4,1.5150,1885.2,,,1154.0,12000000.0,,120.0,,,,120.0,261.8,436.4,1885.2,,,1824.85,0.1272,0.7121,1.6669,,,,1999
365,A B G SHIPYARD LTD.,20010331,12,IGAAP,971.5,964.4,0.7,,0.7,970.8,17.9,162.9,23.4,127.7,17.6,1.8129,2097.7,,,1367.7,12000000.0,,120.0,,,,120.0,280.1,420.1,2097.7,,,1960.05,0.0637,0.5629,1.4998,,,,2000
400,A B L BIOTECHNOLOGIES LTD.,19990331,12,IGAAP,23.7,23.6,,,,23.7,1.0,5.6,1.0,4.3,1.0,4.2194,75.7,,,10.3,4100000.0,,41.0,,,,41.0,32.1,31.0,75.7,,,70.15,0.716,1.216,0.9657,2.8,2.8,,1998
400,A B L BIOTECHNOLOGIES LTD.,20000331,12,IGAAP,20.9,16.6,2.6,2.6,,18.3,7.0,14.0,7.0,5.5,4.4,24.0437,73.3,,,6.6,4100000.0,,41.0,,,,41.0,39.2,25.2,73.3,,,72.35,0.5188,1.0977,0.6429,9.4,9.4,,1999
400,A B L BIOTECHNOLOGIES LTD.,20010331,12,IGAAP,6.7,2.9,1.2,1.2,,5.5,-3.0,2.8,-3.0,-5.1,-4.1,-74.5455,55.2,,,4.2,4100000.0,,41.0,,,,41.0,35.4,12.4,55.2,,,61.75,0.35,0.975,0.3503,1.0,1.0,,2000
414,A B M INTERNATIONAL LTD.,20000331,12,IGAAP,345.2,344.9,0.1,0.1,,345.1,1.8,8.2,4.2,5.4,1.7,0.4926,154.9,,,24.4,490000.0,,4.9,,,,4.9,112.1,10.6,154.9,,,,1.7073,2.3049,0.0946,10.4,12.7,,1999
414,A B M INTERNATIONAL LTD.,20010331,12,IGAAP,220.6,214.6,2.5,2.5,,218.1,0.7,5.7,0.8,-2.4,-1.8,-0.8253,151.6,,,26.4,490000.0,,4.9,,,,4.9,112.2,6.0,151.6,,,153.25,1.924,2.1871,0.0535,16.3,20.5,,2000
415,A B M KNOWLEDGEWARE LTD.,19990630,12,IGAAP,2.6,,,,,2.6,-3.2,-0.4,-3.2,-2.3,-1.2,-46.1538,68.3,,,0.5,7850000.0,,78.5,,,,78.5,63.6,1.6,68.3,,,68.3,10.4,30.6,0.0252,1.0,0.9,,1998
415,A B M KNOWLEDGEWARE LTD.,20000930,15,IGAAP,118.5,116.1,,,,118.5,14.9,23.3,18.4,17.7,15.0,12.6582,120.9,,,18.9,8198900.0,,80.9,,,,81.989,93.1,5.7,120.9,,,92.3,0.5968,0.6129,0.0612,2.2,2.2,,1999
415,A B M KNOWLEDGEWARE LTD.,20010331,6,IGAAP,35.2,32.5,,,,35.2,3.8,7.2,4.8,3.0,3.8,10.7955,130.8,,,28.4,8198900.0,,80.9,,,,81.989,96.9,2.1,130.8,,,123.85,1.278,1.2843,0.0217,9.3,9.3,,2000
443,A B N GRANITES LTD.,19990331,12,IGAAP,,,,,,,-59.0,-0.1,-59.0,-16.8,-59.0,ER,242.7,,,11.4,8920000.0,,89.2,,,,89.2,-88.0,316.8,242.7,,,,0.2691,0.8353,,,,,1998
443,A B N GRANITES LTD.,20000630,15,IGAAP,11.4,,,,,11.4,-39.9,10.7,-39.9,-17.4,-39.9,-350.0000,226.6,,,12.0,8920000.0,,89.2,,,,89.2,-127.9,339.9,226.6,,,234.65,0.2419,0.7509,,,,,1999
443,A B N GRANITES LTD.,20010630,12,IGAAP,7.5,,,,,7.5,-33.1,7.3,-33.1,-13.1,-33.1,-441.3333,213.4,,,12.0,8920000.0,,89.2,,,,89.2,-161.3,360.1,213.4,,,220.0,0.22,0.69,,,,,2000
612,A C E EDUTREND LTD.,19990331,15,IGAAP,5.0,1.0,,,,5.0,-6.8,2.1,-6.8,-3.1,-6.8,-136.0000,31.0,,,2.7,3160900.0,,31.6,,,,31.609,27.3,,31.0,,,37.0,7.1481,9.2222,0.0,8.2,8.2,,1998
612,A C E EDUTREND LTD.,20010331,12,IGAAP,0.9,,,,,0.9,-1.7,-0.8,-1.7,-1.5,-0.6,-66.6667,26.5,,,0.9,3160900.0,,31.6,,,,31.609,25.0,,26.5,,,,2.5556,2.5556,0.0,,,,2000
666,A C I INFOCOM LTD.,19990331,12,IGAAP,506.6,504.3,0.2,,0.2,506.4,-6.8,9.5,-6.8,-0.8,-6.9,-1.3626,245.8,,,116.1,4400790.0,,44.0,,,,44.0079,80.0,47.1,245.8,,,226.85,0.8522,1.2252,0.5887,34.3,34.0,,1998
666,A C I INFOCOM LTD.,20000331,12,IGAAP,239.4,236.9,0.1,0.1,,239.3,-7.6,8.1,-7.6,-2.5,-7.7,-3.2177,181.4,,,64.4,4400790.0,,44.0,,,,44.0079,72.7,43.0,181.4,,,213.05,0.9563,1.3422,0.5915,-2.3,-2.6,,1999
