sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_total_income,sa_sales,sa_prior_period_extra_ordi_inc,sa_prior_period_inc,sa_extra_ordi_inc,sa_tot_inc_net_of_pe,sa_pat,sa_pbdita,sa_pbt,sa_pbit_net_of_peoifi,sa_pat_net_of_pe,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_total_liabilities,sa_non_current_liabilities,sa_long_term_borrowings,sa_current_liabilities,sa_issued_equity_shares,sa_issued_pref_shares,sa_issued_equity_cap,sa_issued_pref_cap,sa_reduct_equity_cap_amt,sa_buyback_amt,sa_issued_equity_shares_in_lakhs,sa_shareholders_funds,sa_debt,sa_total_assets,sa_non_current_assets,sa_current_assets_incl_st_invest_loans,sa_avg_tot_asset_net_miscexp_now_reval,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cf_net_frm_op_activity,sa_cf_generated_frm_op,sa_cf_proceeds_share_issue,sa_year
11,20 MICRONS LTD.,20150331,12,IGAAP,3316.2,3252.7,17.9,10.5,7.4,3298.3,-40.7,301.7,-46.1,139.7,-58.6,-1.7767,3289.8,1001.6,806.6,1484.2,33815902.0,,169.1,,,,338.159,696.9,1547.2,3289.8,1784.5,1505.3,3248.75,0.4406,0.9094,2.2201,244.6,251.8,,2014
11,20 MICRONS LTD.,20160331,12,IGAAP,3527.6,3495.1,13.6,5.3,8.3,3514.0,93.4,449.3,102.6,330.7,98.7,2.8088,3342.3,909.3,708.5,1463.3,35286502.0,,176.4,,,,352.865,840.1,1552.5,3342.3,1711.2,1631.1,3316.05,0.4667,1.0043,1.848,184.1,198.0,50.0,2015
11,20 MICRONS LTD.,20170331,12,INDAS,3741.8,3729.3,3.5,3.5,,3738.3,131.6,519.6,193.2,410.8,130.0,3.4775,3661.4,901.1,630.2,1399.7,35286502.0,,176.4,,,,352.865,1173.1,1453.8,3661.4,2103.5,1557.9,3501.85,0.5033,0.9607,1.2393,529.6,586.0,,2016
289,A B C INDIA LTD.,20150331,12,IGAAP,1664.9,1525.2,128.8,,128.8,1536.1,1.0,134.8,-11.8,-69.1,-127.5,-8.3002,1084.8,189.7,150.4,385.9,5417232.0,,54.2,,,,54.1723,493.4,413.5,1084.8,390.6,694.2,1217.2,1.4353,1.5807,0.8381,46.8,47.1,,2014
289,A B C INDIA LTD.,20160331,12,IGAAP,1406.8,1334.2,64.8,4.0,60.8,1342.0,-23.7,75.8,-25.9,-44.3,-88.5,-6.5946,968.1,191.2,152.0,297.0,5417232.0,,54.2,,,,54.1723,468.3,330.0,968.1,295.8,672.3,1026.45,1.7331,1.9159,0.7047,-4.2,-4.2,,2015
289,A B C INDIA LTD.,20170331,12,INDAS,1309.3,1292.9,13.6,3.8,9.8,1295.7,-52.7,16.0,-59.4,-28.6,-66.3,-5.1169,811.3,165.7,114.9,354.6,5417232.0,,54.2,,,,54.1723,229.0,329.5,811.3,281.3,530.0,889.7,1.355,1.3999,1.4389,42.8,42.2,,2016
363,STARLOG ENTERPRISES LTD.,20150331,12,IGAAP,795.2,717.7,64.5,15.6,48.9,730.7,-136.9,356.6,-199.0,43.7,-201.4,-27.5626,5189.8,2176.7,1548.4,1028.1,11966985.0,,119.7,,,,119.6698,1984.7,2244.7,5189.8,4500.0,689.8,5228.3,0.3382,0.5493,1.131,678.3,650.9,,2014
363,STARLOG ENTERPRISES LTD.,20160331,12,IGAAP,902.9,786.3,12.9,,12.9,890.0,-7.4,520.9,-16.0,166.8,-16.4,-1.8427,4929.8,1723.7,1132.9,1228.6,11966985.0,,119.7,,,,119.6698,1977.3,2038.6,4929.8,4239.9,689.9,5059.8,0.3195,0.4351,1.031,592.4,580.0,,2015
363,STARLOG ENTERPRISES LTD.,20170331,12,INDAS,635.5,634.5,0.2,,0.2,635.3,-234.8,270.4,-244.0,63.4,-235.0,-36.9904,4512.0,1085.7,744.7,1702.4,11966985.0,,119.7,,,,119.6698,1522.6,2109.8,4512.0,3823.4,688.6,4720.9,0.2479,0.3161,1.3857,256.8,268.2,,2016
365,A B G SHIPYARD LTD.,20150331,12,IGAAP,4016.8,3901.2,84.8,34.3,50.5,3932.0,-8977.0,-310.7,-11947.3,-3159.2,-8673.7,-220.5926,123546.0,43816.0,43560.3,71145.3,53839569.0,257093339.0,538.4,2570.9,,,538.3957,7639.6,73099.5,123546.0,32569.6,90976.4,123656.2,0.0989,1.0798,14.4217,-8748.1,-8527.6,3376.0,2014
365,A B G SHIPYARD LTD.,20160331,12,IGAAP,377.7,343.1,3.0,0.8,2.2,374.7,-37047.1,-15368.1,-37240.9,-18696.2,-27286.4,-7282.1991,111067.5,50263.0,50199.0,88362.5,54030848.0,333646056.0,540.3,3336.5,,,540.3085,-28589.2,101569.9,111067.5,30726.3,80341.2,116930.5,0.0837,0.7336,,-6808.3,-6794.2,818.3,2015
400,A B L BIOTECHNOLOGIES LTD.,20150331,12,IGAAP,0.1,0.1,,,,0.1,-1.6,-0.3,-1.6,-1.6,-1.6,-1600.0000,448.0,129.9,129.9,137.0,8200000.0,,82.0,,,,82.0,141.4,173.0,448.0,361.3,86.7,,0.0343,0.6212,1.2235,,,,2014
400,A B L BIOTECHNOLOGIES LTD.,20160331,12,IGAAP,0.1,0.1,,,,0.1,-1.4,-0.2,-1.4,-1.4,-1.4,-1400.0000,443.5,122.4,122.4,141.4,8200000.0,,82.0,,,,82.0,140.5,165.5,443.5,360.1,83.4,406.3,0.0099,0.5785,1.1779,,,,2015
