sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_total_income,sa_sales,sa_prior_period_extra_ordi_inc,sa_prior_period_inc,sa_extra_ordi_inc,sa_tot_inc_net_of_pe,sa_pat,sa_pbdita,sa_pbt,sa_pbit_net_of_peoifi,sa_pat_net_of_pe,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_total_liabilities,sa_non_current_liabilities,sa_long_term_borrowings,sa_current_liabilities,sa_issued_equity_shares,sa_issued_pref_shares,sa_issued_equity_cap,sa_issued_pref_cap,sa_reduct_equity_cap_amt,sa_buyback_amt,sa_issued_equity_shares_in_lakhs,sa_shareholders_funds,sa_debt,sa_total_assets,sa_non_current_assets,sa_current_assets_incl_st_invest_loans,sa_avg_tot_asset_net_miscexp_now_reval,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cf_net_frm_op_activity,sa_cf_generated_frm_op,sa_cf_proceeds_share_issue,sa_year
11,20 MICRONS LTD.,20080331,12,IGAAP,1163.8,1147.9,12.3,12.0,0.3,1151.5,45.9,164.9,74.4,114.9,37.5,3.2566,978.4,,,116.7,12444800.0,,124.4,,,,124.448,284.4,466.0,978.4,,,911.75,0.6765,1.0256,1.6385,69.0,79.7,2.3,2007
11,20 MICRONS LTD.,20090331,12,IGAAP,1467.1,1454.8,2.6,1.9,0.7,1464.5,13.4,144.7,24.8,128.4,47.9,3.2707,1210.4,,,167.9,14205248.0,,142.1,,,,142.0525,358.1,586.1,1210.4,,,1094.4,0.5453,0.9173,1.6367,1.4,10.7,93.5,2008
11,20 MICRONS LTD.,20100331,12,IGAAP,1832.0,1808.6,14.6,0.3,14.3,1817.4,73.0,238.7,101.7,162.0,61.7,3.3950,1583.7,,,178.2,14331028.0,,143.3,,,,143.3103,416.0,843.3,1583.7,,,1397.05,0.5715,1.0254,2.0272,32.7,49.4,1.7,2009
289,A B C INDIA LTD.,20090331,12,IGAAP,1637.0,1584.3,49.1,0.8,48.3,1587.9,43.2,134.1,61.2,54.3,-4.1,-0.2582,817.7,,,123.9,5402362.0,,54.0,,,,54.0236,358.7,277.5,817.7,,,,1.0167,1.0218,0.7736,69.6,81.4,,2008
289,A B C INDIA LTD.,20100331,12,IGAAP,1469.3,1464.8,2.8,1.7,1.1,1466.5,8.0,84.5,14.1,60.5,10.1,0.6887,847.5,,,78.9,5402362.0,,54.0,,,,54.0236,362.2,345.9,847.5,,,832.6,1.0459,1.0531,0.955,6.8,17.0,,2009
363,STARLOG ENTERPRISES LTD.,20080331,12,IGAAP,1808.3,50.3,4.7,1.7,3.0,1803.6,735.6,1528.9,898.8,-604.9,732.4,40.6077,6335.9,,,282.2,12820200.0,,128.2,,,,128.202,2434.0,3278.2,6335.9,,,5414.95,1.3319,1.3319,1.3468,295.6,331.9,,2007
363,STARLOG ENTERPRISES LTD.,20090331,12,IGAAP,1512.7,95.1,1.0,1.0,,1511.7,71.5,1153.9,102.8,-882.4,70.5,4.6636,7898.6,,,351.8,12820200.0,,128.2,,,,128.202,2468.4,4903.3,7898.6,,,7117.25,1.5474,1.5474,1.9864,525.1,771.2,,2008
363,STARLOG ENTERPRISES LTD.,20100331,12,IGAAP,1585.0,40.5,112.2,,112.2,1472.8,104.3,1059.6,159.3,-949.8,-7.1,-0.4821,6647.1,,,400.9,12820200.0,,128.2,,,,128.202,2512.8,3505.4,6647.1,,,7272.85,1.7463,1.7463,1.395,781.0,839.2,,2009
365,A B G SHIPYARD LTD.,20080331,12,IGAAP,9959.7,9668.4,92.9,80.1,12.8,9866.8,1606.8,3202.8,2485.5,2845.3,1521.7,15.4224,21981.0,,,7204.7,50921801.0,,509.2,,,,509.218,7168.8,5222.0,21981.0,,,18665.4,0.0752,0.4276,0.7284,1637.7,1762.6,,2007
365,A B G SHIPYARD LTD.,20090331,12,IGAAP,14258.8,14122.2,52.0,48.4,3.6,14206.8,1711.0,4551.5,2482.7,4160.6,1676.1,11.7979,42052.5,,,12632.6,50921801.0,,509.2,,,,509.218,8706.0,17679.9,42052.5,,,31530.4,0.0349,0.4814,2.0308,-2346.5,-2114.8,,2008
