sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_total_income,sa_sales,sa_prior_period_extra_ordi_inc,sa_prior_period_inc,sa_extra_ordi_inc,sa_tot_inc_net_of_pe,sa_pat,sa_pbdita,sa_pbt,sa_pbit_net_of_peoifi,sa_pat_net_of_pe,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_total_liabilities,sa_non_current_liabilities,sa_long_term_borrowings,sa_current_liabilities,sa_issued_equity_shares,sa_issued_pref_shares,sa_issued_equity_cap,sa_issued_pref_cap,sa_reduct_equity_cap_amt,sa_buyback_amt,sa_issued_equity_shares_in_lakhs,sa_shareholders_funds,sa_debt,sa_total_assets,sa_non_current_assets,sa_current_assets_incl_st_invest_loans,sa_avg_tot_asset_net_miscexp_now_reval,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cf_net_frm_op_activity,sa_cf_generated_frm_op,sa_cf_proceeds_share_issue,sa_year
11,20 MICRONS LTD.,20160331,12,IGAAP,3527.6,3495.1,13.6,5.3,8.3,3514.0,93.4,449.3,102.6,330.7,98.7,2.8088,3342.3,909.3,708.5,1463.3,35286502.0,,176.4,,,,352.865,840.1,1552.5,3342.3,1711.2,1631.1,3316.05,0.4667,1.0043,1.848,184.1,198.0,50.0,2015
11,20 MICRONS LTD.,20170331,12,INDAS,3741.8,3729.3,3.5,3.5,,3738.3,131.6,519.6,193.2,410.8,130.0,3.4775,3661.4,901.1,630.2,1399.7,35286502.0,,176.4,,,,352.865,1173.1,1453.8,3661.4,2103.5,1557.9,3501.85,0.5033,0.9607,1.2393,529.6,586.0,,2016
11,20 MICRONS LTD.,20180331,12,INDAS,3922.0,3891.8,12.8,12.8,,3909.2,158.8,545.0,238.6,439.5,162.1,4.1466,3808.7,842.3,562.9,1397.1,35286502.0,,176.4,,,,352.865,1317.9,1294.2,3808.7,2129.2,1679.5,3730.1,0.561,1.002,0.982,499.1,541.0,,2017
289,A B C INDIA LTD.,20160331,12,IGAAP,1406.8,1334.2,64.8,4.0,60.8,1342.0,-23.7,75.8,-25.9,-44.3,-88.5,-6.5946,968.1,191.2,152.0,297.0,5417232.0,,54.2,,,,54.1723,468.3,330.0,968.1,295.8,672.3,1026.45,1.7331,1.9159,0.7047,-4.2,-4.2,,2015
289,A B C INDIA LTD.,20170331,12,INDAS,1309.3,1292.9,13.6,3.8,9.8,1295.7,-52.7,16.0,-59.4,-28.6,-66.3,-5.1169,811.3,165.7,114.9,354.6,5417232.0,,54.2,,,,54.1723,229.0,329.5,811.3,281.3,530.0,889.7,1.355,1.3999,1.4389,42.8,42.2,,2016
289,A B C INDIA LTD.,20180331,12,INDAS,1264.6,1166.4,96.1,1.6,94.5,1168.5,8.9,60.0,-1.1,-55.0,-85.6,-7.3256,665.5,111.4,70.3,310.5,5417232.0,,54.1,,,,54.1723,237.7,233.7,665.5,177.6,487.9,738.05,1.3375,1.3775,0.9832,-1.3,-0.3,,2017
363,STARLOG ENTERPRISES LTD.,20160331,12,IGAAP,902.9,786.3,12.9,,12.9,890.0,-7.4,520.9,-16.0,166.8,-16.4,-1.8427,4929.8,1723.7,1132.9,1228.6,11966985.0,,119.7,,,,119.6698,1977.3,2038.6,4929.8,4239.9,689.9,5059.8,0.3195,0.4351,1.031,592.4,580.0,,2015
363,STARLOG ENTERPRISES LTD.,20170331,12,INDAS,635.5,634.5,0.2,,0.2,635.3,-234.8,270.4,-244.0,63.4,-235.0,-36.9904,4512.0,1085.7,744.7,1702.4,11966985.0,,119.7,,,,119.6698,1522.6,2109.8,4512.0,3823.4,688.6,4720.9,0.2479,0.3161,1.3857,256.8,268.2,,2016
363,STARLOG ENTERPRISES LTD.,20180331,12,INDAS,556.0,283.7,269.4,269.4,,286.6,-120.0,285.0,-120.0,-127.9,-355.5,-124.0405,3911.0,712.0,410.8,1594.5,11966985.0,,119.7,,,,119.6698,1396.7,1619.0,3911.0,3250.4,660.6,4211.5,0.2477,0.3247,1.1592,88.0,81.2,,2017
365,A B G SHIPYARD LTD.,20160331,12,IGAAP,377.7,343.1,3.0,0.8,2.2,374.7,-37047.1,-15368.1,-37240.9,-18696.2,-27286.4,-7282.1991,111067.5,50263.0,50199.0,88362.5,54030848.0,333646056.0,540.3,3336.5,,,540.3085,-28589.2,101569.9,111067.5,30726.3,80341.2,116930.5,0.0837,0.7336,,-6808.3,-6794.2,818.3,2015
400,A B L BIOTECHNOLOGIES LTD.,20160331,12,IGAAP,0.1,0.1,,,,0.1,-1.4,-0.2,-1.4,-1.4,-1.4,-1400.0000,443.5,122.4,122.4,141.4,8200000.0,,82.0,,,,82.0,140.5,165.5,443.5,360.1,83.4,406.3,0.0099,0.5785,1.1779,,,,2015
414,A B M INTERNATIONAL LTD.,20160331,12,IGAAP,1097.1,1089.3,2.8,2.8,,1094.3,7.6,15.6,11.5,5.8,4.8,0.4386,443.6,0.3,,240.1,1960000.0,,19.6,,,,19.6,168.4,219.4,443.6,46.4,397.2,465.5,1.2565,1.4336,1.3029,-33.0,-28.9,,2015
414,A B M INTERNATIONAL LTD.,20170331,12,INDAS,1428.0,1423.1,1.7,1.4,0.3,1426.3,6.2,14.3,9.3,7.0,4.5,0.3155,349.5,1.3,1.0,152.2,11760000.0,,117.6,,,,117.6,158.0,2.5,349.5,90.1,259.4,396.2,0.9288,1.1298,0.0158,-40.1,-36.6,,2016
414,A B M INTERNATIONAL LTD.,20180331,12,INDAS,888.5,886.4,,,,888.5,-2.2,3.1,-0.7,1.6,0.8,0.0900,283.4,1.6,0.3,123.9,11760000.0,,117.6,,,,117.6,155.7,1.9,283.4,45.6,237.8,315.8,1.5984,1.5992,0.0122,0.6,1.9,,2017
415,A B M KNOWLEDGEWARE LTD.,20160331,12,IGAAP,889.4,870.6,2.7,2.7,,886.7,175.7,292.9,267.9,255.2,176.1,19.8602,1129.0,18.0,,65.7,20700000.0,,103.5,,,,207.0,1009.6,,1129.0,328.2,800.8,1129.0,7.111,7.112,0.0,277.0,372.1,,2015
415,A B M KNOWLEDGEWARE LTD.,20170331,12,INDAS,1125.8,1096.7,,,,1125.8,183.3,311.5,282.3,255.9,183.5,16.2995,2048.2,97.5,,34.2,20700000.0,,103.5,,,,207.0,1337.8,,2048.2,554.8,1493.4,1588.6,2.2037,2.2056,0.0,160.5,277.2,,2016
415,A B M KNOWLEDGEWARE LTD.,20180331,12,INDAS,741.0,716.3,0.9,0.9,,740.1,144.5,220.8,192.5,173.0,143.6,19.4028,1976.6,84.0,,37.4,20700000.0,,103.5,,,,207.0,1452.6,,1976.6,598.7,1377.9,2012.4,2.9767,3.108,0.0,-175.4,-94.1,,2017
612,A C E EDUTREND LTD.,20160331,12,IGAAP,153.2,152.7,,,,153.2,-6.6,28.5,-9.6,-10.1,-6.6,-4.3081,158.2,,,18.1,9160900.0,,91.6,,,,91.609,124.0,,158.2,157.2,1.0,164.85,0.0234,0.0234,0.0,27.9,28.2,,2015
612,A C E EDUTREND LTD.,20170331,12,INDAS,87.4,86.9,,,,87.4,-5.7,18.6,-8.2,-8.7,-5.7,-6.5217,154.0,19.5,,,9160900.0,,91.6,,,,91.609,118.3,,154.0,133.6,20.4,156.1,1.2469,1.2469,0.0,-0.1,0.0,,2016
612,A C E EDUTREND LTD.,20180331,12,INDAS,27.5,26.9,,,,27.5,-9.0,11.3,-2.9,-3.5,-9.0,-32.7273,149.9,,,24.2,9160900.0,,91.6,,,,91.609,109.4,,149.9,102.5,47.4,151.95,1.163,1.163,0.0,-0.1,0.0,,2017
641,A C E STONECRAFT LTD.,20160331,12,IGAAP,14.7,,0.1,0.1,,14.6,0.2,13.5,0.3,-1.2,0.1,0.6849,372.4,,,135.0,23492100.0,,234.9,,,,234.921,222.4,133.5,372.4,134.1,238.3,292.0,0.0,1.6425,0.6003,-126.6,-126.5,,2015
641,A C E STONECRAFT LTD.,20170331,12,INDAS,21.5,,,,,21.5,7.7,18.9,11.1,-2.6,7.7,35.8140,316.6,,,68.2,23492100.0,,234.9,,,,234.921,229.1,66.9,316.6,292.5,24.1,329.1,0.1145,0.1145,0.292,-67.5,-67.4,,2016
641,A C E STONECRAFT LTD.,20180331,12,INDAS,21.6,,0.1,0.1,,21.5,3.8,11.2,5.3,-10.1,4.0,18.6047,263.6,,,13.3,23492100.0,,234.9,,,,234.921,232.9,11.1,263.6,242.6,21.0,274.2,0.3176,0.3176,0.0477,61.5,65.2,,2017
666,A C I INFOCOM LTD.,20160331,12,IGAAP,10.6,5.5,,,,10.6,0.1,2.0,1.2,-3.1,0.1,0.9434,168.7,,,7.2,110490900.0,,110.5,,,,1104.909,161.5,,168.7,44.7,124.0,167.7,0.2917,16.9167,0.0,-11.6,-11.3,,2015
666,A C I INFOCOM LTD.,20170331,12,INDAS,146.4,140.4,,,,146.4,2.1,3.1,2.8,-2.9,2.1,1.4344,266.0,,,102.5,110490900.0,,110.5,,,,1104.909,163.5,,266.0,47.0,219.0,217.35,0.959,2.1356,0.0,-6.2,-5.7,,2016
666,A C I INFOCOM LTD.,20180331,12,INDAS,42.5,36.6,,,,42.5,1.6,3.3,3.0,-2.5,1.7,4.0000,171.6,,,6.5,110490900.0,,110.5,,,,1104.909,165.1,,171.6,46.5,125.1,218.8,0.2615,19.1846,0.0,-5.7,-5.1,,2017
771,CEINSYS TECH LTD.,20160331,12,IGAAP,1258.6,1251.4,,,,1258.6,74.2,285.5,122.1,228.5,75.0,5.9590,1776.0,165.5,112.2,1071.6,9099475.0,,91.0,,,,90.9947,435.5,958.0,1776.0,320.7,1455.3,1487.45,0.5883,1.0915,2.1998,-283.2,-283.2,0.4,2015
