sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_total_income,sa_sales,sa_prior_period_extra_ordi_inc,sa_prior_period_inc,sa_extra_ordi_inc,sa_tot_inc_net_of_pe,sa_pat,sa_pbdita,sa_pbt,sa_pbit_net_of_peoifi,sa_pat_net_of_pe,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_total_liabilities,sa_non_current_liabilities,sa_long_term_borrowings,sa_current_liabilities,sa_issued_equity_shares,sa_issued_pref_shares,sa_issued_equity_cap,sa_issued_pref_cap,sa_reduct_equity_cap_amt,sa_buyback_amt,sa_issued_equity_shares_in_lakhs,sa_shareholders_funds,sa_debt,sa_total_assets,sa_non_current_assets,sa_current_assets_incl_st_invest_loans,sa_avg_tot_asset_net_miscexp_now_reval,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cf_net_frm_op_activity,sa_cf_generated_frm_op,sa_cf_proceeds_share_issue,sa_year
11,20 MICRONS LTD.,20070331,12,IGAAP,937.8,933.6,0.4,,0.4,937.4,35.7,125.2,46.5,84.4,35.8,3.8191,845.1,,,83.1,12444800.0,,124.4,,,,124.448,237.6,423.6,845.1,,,794.0,0.7782,1.2034,1.7828,61.9,66.9,,2006
11,20 MICRONS LTD.,20080331,12,IGAAP,1163.8,1147.9,12.3,12.0,0.3,1151.5,45.9,164.9,74.4,114.9,37.5,3.2566,978.4,,,116.7,12444800.0,,124.4,,,,124.448,284.4,466.0,978.4,,,911.75,0.6765,1.0256,1.6385,69.0,79.7,2.3,2007
11,20 MICRONS LTD.,20090331,12,IGAAP,1467.1,1454.8,2.6,1.9,0.7,1464.5,13.4,144.7,24.8,128.4,47.9,3.2707,1210.4,,,167.9,14205248.0,,142.1,,,,142.0525,358.1,586.1,1210.4,,,1094.4,0.5453,0.9173,1.6367,1.4,10.7,93.5,2008
289,A B C INDIA LTD.,20090331,12,IGAAP,1637.0,1584.3,49.1,0.8,48.3,1587.9,43.2,134.1,61.2,54.3,-4.1,-0.2582,817.7,,,123.9,5402362.0,,54.0,,,,54.0236,358.7,277.5,817.7,,,,1.0167,1.0218,0.7736,69.6,81.4,,2008
363,STARLOG ENTERPRISES LTD.,20070331,12,IGAAP,692.0,14.3,9.9,2.3,7.6,682.1,50.8,535.4,81.4,-376.5,40.9,5.9962,4494.0,,,380.7,12820200.0,,128.2,,,,128.202,1848.5,2113.4,4494.0,,,3636.55,2.1619,2.1619,1.1433,237.1,272.0,487.5,2006
363,STARLOG ENTERPRISES LTD.,20080331,12,IGAAP,1808.3,50.3,4.7,1.7,3.0,1803.6,735.6,1528.9,898.8,-604.9,732.4,40.6077,6335.9,,,282.2,12820200.0,,128.2,,,,128.202,2434.0,3278.2,6335.9,,,5414.95,1.3319,1.3319,1.3468,295.6,331.9,,2007
363,STARLOG ENTERPRISES LTD.,20090331,12,IGAAP,1512.7,95.1,1.0,1.0,,1511.7,71.5,1153.9,102.8,-882.4,70.5,4.6636,7898.6,,,351.8,12820200.0,,128.2,,,,128.202,2468.4,4903.3,7898.6,,,7117.25,1.5474,1.5474,1.9864,525.1,771.2,,2008
365,A B G SHIPYARD LTD.,20070331,12,IGAAP,7348.0,7043.6,133.7,120.3,13.4,7214.3,1162.9,2255.4,1773.9,1897.2,1041.1,14.4311,16359.9,,,5147.8,50921801.0,,509.2,,,,509.218,5362.4,4095.7,16359.9,,,12789.6,0.0932,0.7194,0.7638,-3955.7,-3835.9,,2006
365,A B G SHIPYARD LTD.,20080331,12,IGAAP,9959.7,9668.4,92.9,80.1,12.8,9866.8,1606.8,3202.8,2485.5,2845.3,1521.7,15.4224,21981.0,,,7204.7,50921801.0,,509.2,,,,509.218,7168.8,5222.0,21981.0,,,18665.4,0.0752,0.4276,0.7284,1637.7,1762.6,,2007
365,A B G SHIPYARD LTD.,20090331,12,IGAAP,14258.8,14122.2,52.0,48.4,3.6,14206.8,1711.0,4551.5,2482.7,4160.6,1676.1,11.7979,42052.5,,,12632.6,50921801.0,,509.2,,,,509.218,8706.0,17679.9,42052.5,,,31530.4,0.0349,0.4814,2.0308,-2346.5,-2114.8,,2008
400,A B L BIOTECHNOLOGIES LTD.,20070331,12,IGAAP,141.1,140.1,,,,141.1,20.4,32.0,23.5,29.9,21.6,15.3083,273.9,,,44.2,4100000.0,,41.0,,,,41.0,84.4,101.3,273.9,,,182.6,0.577,0.8325,1.2002,17.9,20.0,16.5,2006
400,A B L BIOTECHNOLOGIES LTD.,20080331,12,IGAAP,201.9,200.5,,,,201.9,17.5,33.4,19.4,30.1,18.0,8.9153,346.1,,,72.9,4100000.0,,41.0,,,,41.0,83.8,141.5,346.1,,,268.45,0.6551,0.9068,1.6885,-16.3,-14.6,,2007
400,A B L BIOTECHNOLOGIES LTD.,20090331,12,IGAAP,96.7,96.6,,,,96.7,-9.7,4.7,-9.6,1.7,-9.5,-9.8242,657.0,,,83.8,8200000.0,,82.0,,,,82.0,354.8,166.0,657.0,,,456.65,2.8303,3.0586,0.4679,7.7,9.2,287.0,2008
414,A B M INTERNATIONAL LTD.,20070331,12,IGAAP,351.4,349.4,,,,351.4,0.1,2.4,0.8,-0.8,0.5,0.1423,198.5,,,81.2,490000.0,,4.9,,,,4.9,110.5,1.6,198.5,,,183.25,1.3692,1.581,0.0145,15.9,16.6,,2006
414,A B M INTERNATIONAL LTD.,20080331,12,IGAAP,487.9,481.6,,,,487.9,4.4,7.0,5.2,-0.9,4.4,0.9018,203.9,,,82.5,490000.0,,4.9,,,,4.9,114.3,1.0,203.9,,,201.2,1.4571,1.7246,0.0087,21.6,23.0,,2007
414,A B M INTERNATIONAL LTD.,20090331,12,IGAAP,537.1,536.0,,,,537.1,3.5,6.8,5.4,4.6,3.5,0.6516,278.7,,,153.2,490000.0,,4.9,,,,4.9,117.2,0.4,278.7,,,241.3,1.0012,1.2173,0.0034,39.8,40.8,,2008
415,A B M KNOWLEDGEWARE LTD.,20070331,12,IGAAP,197.1,191.1,3.9,3.9,,193.2,11.7,30.3,20.7,20.5,12.0,6.2112,178.3,,,60.0,10350000.0,,103.5,,,,103.5,99.8,8.3,178.3,,,145.1,1.5221,1.5221,0.0832,13.6,13.6,,2006
415,A B M KNOWLEDGEWARE LTD.,20080331,12,IGAAP,315.2,310.5,,,,315.2,62.7,105.7,95.7,92.0,62.8,19.9239,266.1,,,94.2,10350000.0,,103.5,,,,103.5,156.6,,266.1,,,222.2,2.1611,2.1611,0.0,32.3,60.7,,2007
415,A B M KNOWLEDGEWARE LTD.,20090331,12,IGAAP,449.8,442.1,0.2,0.2,,449.6,59.4,92.8,90.0,83.6,59.2,13.1673,415.2,,,187.0,10350000.0,,103.5,,,,103.5,204.3,,415.2,,,340.65,1.7718,1.7718,0.0,171.5,200.3,,2008
443,A B N GRANITES LTD.,20070630,12,IGAAP,,,,,,,-27.1,-0.1,-27.1,-0.1,-27.1,ER,143.4,,,12.9,9000000.0,,90.0,,,,90.0,-434.3,562.2,143.4,,,143.4,0.0,0.0,,,,,2006
443,A B N GRANITES LTD.,20080630,12,IGAAP,3.4,,3.4,,3.4,0.0,-79.1,3.3,-79.1,-0.1,-82.5,ER,143.3,,,13.8,9000000.0,,90.0,,,,90.0,-513.4,641.2,143.3,,,143.35,0.0,0.0,,,,,2007
443,A B N GRANITES LTD.,20090630,12,IGAAP,,,,,,,-82.5,0.0,-82.5,0.0,-82.5,ER,143.3,,,13.9,9000000.0,,90.0,,,,90.0,-595.9,723.6,143.3,,,143.3,0.0,0.0,,,,,2008
612,A C E EDUTREND LTD.,20070331,12,IGAAP,32.6,31.4,0.3,0.3,,32.3,0.4,1.6,0.9,-0.3,0.1,0.3096,34.3,,,0.8,3160900.0,,31.6,,,,31.609,32.8,,34.3,,,33.2,0.4444,20.2222,0.0,0.5,0.6,1.0,2006
