sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_total_income,sa_sales,sa_prior_period_extra_ordi_inc,sa_prior_period_inc,sa_extra_ordi_inc,sa_tot_inc_net_of_pe,sa_pat,sa_pbdita,sa_pbt,sa_pbit_net_of_peoifi,sa_pat_net_of_pe,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_total_liabilities,sa_non_current_liabilities,sa_long_term_borrowings,sa_current_liabilities,sa_issued_equity_shares,sa_issued_pref_shares,sa_issued_equity_cap,sa_issued_pref_cap,sa_reduct_equity_cap_amt,sa_buyback_amt,sa_issued_equity_shares_in_lakhs,sa_shareholders_funds,sa_debt,sa_total_assets,sa_non_current_assets,sa_current_assets_incl_st_invest_loans,sa_avg_tot_asset_net_miscexp_now_reval,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cf_net_frm_op_activity,sa_cf_generated_frm_op,sa_cf_proceeds_share_issue,sa_year
11,20 MICRONS LTD.,20120331,12,IGAAP,2722.0,2678.4,8.0,6.8,1.2,2714.0,107.8,368.5,148.5,260.4,99.8,3.6772,2548.0,652.9,514.2,1217.0,14331028.0,,143.3,,,,143.3103,575.4,1447.7,2548.0,1362.7,1185.3,2266.1,0.4606,0.8347,2.516,117.9,146.3,,2011
11,20 MICRONS LTD.,20130331,12,IGAAP,2901.9,2855.8,18.9,14.2,4.7,2883.0,32.4,388.7,56.5,262.4,14.6,0.5064,2805.9,829.9,647.1,1191.7,31662056.0,,158.3,,,,316.6206,672.8,1485.9,2805.9,1708.4,1097.5,2676.95,0.4457,0.8003,2.2085,405.9,416.4,135.0,2012
11,20 MICRONS LTD.,20140331,12,IGAAP,3097.0,3010.4,12.2,12.2,0.0,3084.8,1.3,322.1,0.9,133.8,-8.3,-0.2691,3207.7,757.1,577.9,1605.4,33815902.0,,169.1,,,,338.159,744.2,1620.9,3207.7,1866.6,1341.1,3006.8,0.4043,0.7539,2.178,231.1,242.0,70.0,2013
289,A B C INDIA LTD.,20120331,12,IGAAP,2614.7,2582.1,27.4,1.2,26.2,2587.3,49.8,281.2,70.1,168.6,23.5,0.9083,1746.9,372.1,309.1,877.4,5417232.0,,54.2,,,,54.1723,445.8,970.2,1746.9,780.3,966.6,1654.5,0.8662,0.9638,2.1763,366.1,373.8,,2011
289,A B C INDIA LTD.,20130331,12,IGAAP,1970.4,1800.5,4.3,1.7,2.6,1966.1,63.7,294.3,79.0,28.8,59.4,3.0212,1522.0,297.3,231.4,679.0,5417232.0,,54.2,,,,54.1723,499.0,781.2,1522.0,690.0,832.0,1634.45,1.0024,1.0729,1.5655,185.3,204.7,,2012
289,A B C INDIA LTD.,20140331,12,IGAAP,1787.8,1640.1,139.6,,139.6,1648.2,4.2,185.3,-4.1,-55.0,-135.4,-8.2150,1349.6,167.2,109.8,670.5,5417232.0,,54.2,,,,54.1723,495.7,655.5,1349.6,560.7,788.9,1435.8,0.931,1.0554,1.3224,47.1,77.0,,2013
363,STARLOG ENTERPRISES LTD.,20120331,12,IGAAP,1556.6,1457.6,62.8,3.1,59.7,1493.8,110.8,1015.6,153.1,456.1,48.0,3.2133,5829.5,2247.7,1945.0,1209.6,11966985.0,,119.7,,0.0,0.0,119.6698,2370.5,2658.9,5829.5,4804.5,1025.0,5941.0,0.5459,0.7974,1.1217,837.4,866.4,,2011
363,STARLOG ENTERPRISES LTD.,20130331,12,IGAAP,1048.8,967.3,39.9,,39.9,1008.9,-62.8,610.3,-116.0,134.4,-102.7,-10.1794,5639.9,1752.3,1441.7,1578.3,11966985.0,,119.7,,,,119.6698,2307.7,2497.9,5639.9,4678.4,961.5,5734.7,0.3964,0.5907,1.0824,528.8,549.9,,2012
363,STARLOG ENTERPRISES LTD.,20140331,12,IGAAP,765.7,743.7,2.3,2.3,0.0,763.4,-183.0,397.2,-275.0,25.2,-185.3,-24.2730,5266.8,2255.6,1825.8,886.2,11966985.0,,119.7,,,,119.6698,2124.7,2440.0,5266.8,4334.8,932.0,5453.35,0.4858,0.7976,1.1484,334.1,257.9,,2013
365,A B G SHIPYARD LTD.,20120331,12,IGAAP,24328.6,23842.9,117.4,103.9,13.5,24211.2,1802.9,6969.4,2653.7,5629.7,1824.0,7.5337,89208.7,17606.9,12511.9,56552.7,50921801.0,,509.2,,,,509.218,14210.3,34777.3,89208.7,33808.3,55400.4,82187.2,0.1684,0.905,2.4473,-4334.4,-3974.8,,2011
